start_time,end_time,duration,class,confidence
00:00:00,00:00:30,00:00:30,7 Class 8 using file explorer,0.9998275
00:00:30,00:00:35,00:00:05,5 Class 6 coding in VSC,0.9998808
00:00:35,00:00:38,00:00:02,9 Class 10 other,0.76341766
00:00:38,00:00:39,00:00:01,5 Class 6 coding in VSC,0.53126436
00:00:39,00:00:42,00:00:02,9 Class 10 other,0.38689384
00:00:42,00:00:42,00:00:00,5 Class 6 coding in VSC,0.37291595
00:00:42,00:00:44,00:00:01,0 Class 1 browsing the web,0.534675
00:00:44,00:00:44,00:00:00,5 Class 6 coding in VSC,0.8521376
00:00:44,00:00:48,00:00:03,0 Class 1 browsing the web,0.7445834
00:00:48,00:00:48,00:00:00,9 Class 10 other,0.8853643
00:00:48,00:00:51,00:00:02,2 Class 3 using github,0.05166083
00:00:51,00:00:51,00:00:00,0 Class 1 browsing the web,0.9377584
00:00:51,00:00:52,00:00:00,2 Class 3 using github,0.06529594
00:00:52,00:01:03,00:00:11,0 Class 1 browsing the web,0.5104767
00:01:03,00:01:05,00:00:02,5 Class 6 coding in VSC,6.4915694e-05
00:01:05,00:02:30,00:01:25,4 Class 5 editing docs,0.9147326
00:02:30,00:02:34,00:00:04,0 Class 1 browsing the web,0.00012314465
00:02:34,00:02:34,00:00:00,2 Class 3 using github,0.88169616
00:02:34,00:02:35,00:00:00,7 Class 8 using file explorer,0.75636804
00:02:35,00:02:35,00:00:00,3 Class 4 cmd command,0.93378925
00:02:35,00:02:37,00:00:02,0 Class 1 browsing the web,1.0
00:02:37,00:02:39,00:00:01,11 Class 12 socials,0.020876752
00:02:39,00:03:11,00:00:32,4 Class 5 editing docs,1.0
00:03:11,00:03:14,00:00:03,11 Class 12 socials,6.0027014e-06
00:03:14,00:03:20,00:00:05,0 Class 1 browsing the web,1.0
00:03:20,00:03:37,00:00:17,11 Class 12 socials,4.063306e-07
00:03:37,00:03:37,00:00:00,0 Class 1 browsing the web,1.0
00:03:37,00:03:45,00:00:08,11 Class 12 socials,2.8701645e-06
00:03:45,00:03:46,00:00:00,0 Class 1 browsing the web,1.0
00:03:46,00:04:10,00:00:24,11 Class 12 socials,9.611325e-07
00:04:10,00:04:11,00:00:00,0 Class 1 browsing the web,1.0
00:04:11,00:04:24,00:00:13,11 Class 12 socials,0.0022290396
00:04:24,00:04:26,00:00:02,4 Class 5 editing docs,1.0
00:04:26,00:04:28,00:00:02,11 Class 12 socials,7.2078433e-06
00:04:28,00:04:28,00:00:00,0 Class 1 browsing the web,1.0
00:04:28,00:04:29,00:00:00,11 Class 12 socials,1.1250885e-05
00:04:29,00:04:34,00:00:05,0 Class 1 browsing the web,1.0
00:04:34,00:04:35,00:00:00,11 Class 12 socials,9.102153e-06
00:04:35,00:04:35,00:00:00,0 Class 1 browsing the web,0.9302825
00:04:35,00:04:36,00:00:00,9 Class 10 other,1.0
00:04:36,00:04:43,00:00:07,11 Class 12 socials,0.89576
00:04:43,00:04:44,00:00:00,9 Class 10 other,1.0
00:04:44,00:04:51,00:00:07,11 Class 12 socials,9.530978e-06
00:04:51,00:04:52,00:00:00,0 Class 1 browsing the web,0.9474938
00:04:52,00:04:52,00:00:00,9 Class 10 other,1.0
00:04:52,00:04:59,00:00:07,11 Class 12 socials,0.86950576
00:04:59,00:04:59,00:00:00,9 Class 10 other,0.86950576
