start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:00:15,00:00:10,idle,
00:00:17,00:00:19,00:00:02,0 Class 1 browsing the web,
00:00:21,00:00:23,00:00:01,9 Class 10 other,
00:00:23,00:00:26,00:00:03,5 Class 6 IDE coding,
00:00:26,00:00:28,00:00:01,9 Class 10 other,
00:00:29,00:00:34,00:00:05,6 Class 7 watching yt,
00:00:34,00:00:37,00:00:03,idle,
00:00:37,00:00:42,00:00:05,6 Class 7 watching yt,
00:00:42,00:00:43,00:00:00,idle,
00:00:43,00:00:48,00:00:05,7 Class 8 using file explorer,
00:00:48,00:01:32,00:00:44,idle,
00:01:34,00:01:39,00:00:05,5 Class 6 IDE coding,
00:01:39,00:01:42,00:00:03,idle,
00:01:43,00:01:48,00:00:05,5 Class 6 IDE coding,
00:01:48,00:02:02,00:00:13,idle,
00:02:02,00:02:04,00:00:02,9 Class 10 other,
00:02:04,00:02:07,00:00:02,7 Class 8 using file explorer,
00:02:07,00:02:10,00:00:03,9 Class 10 other,
00:02:10,00:02:11,00:00:01,7 Class 8 using file explorer,
00:02:12,00:02:17,00:00:05,5 Class 6 IDE coding,
00:02:17,00:02:33,00:00:16,idle,
00:02:34,00:02:36,00:00:02,7 Class 8 using file explorer,
00:02:36,00:02:39,00:00:03,9 Class 10 other,
00:02:39,00:02:44,00:00:05,7 Class 8 using file explorer,
00:02:44,00:03:27,00:00:42,idle,
00:03:27,00:03:28,00:00:01,0 Class 1 browsing the web,
00:03:28,00:03:33,00:00:05,9 Class 10 other,
00:03:33,00:03:40,00:00:06,idle,
00:03:40,00:03:45,00:00:05,5 Class 6 IDE coding,
00:03:45,00:04:15,00:00:30,idle,
00:04:16,00:04:20,00:00:04,7 Class 8 using file explorer,
00:04:21,00:04:26,00:00:05,5 Class 6 IDE coding,
00:04:26,00:04:36,00:00:09,idle,
00:04:36,00:04:38,00:00:02,7 Class 8 using file explorer,
00:04:38,00:04:43,00:00:05,5 Class 6 IDE coding,
00:04:43,00:04:45,00:00:02,idle,
00:04:46,00:04:51,00:00:05,5 Class 6 IDE coding,
00:04:51,00:05:00,00:00:09,idle,
00:05:00,00:05:04,00:00:03,0 Class 1 browsing the web,
00:05:04,00:05:06,00:00:02,5 Class 6 IDE coding,
00:05:07,00:05:12,00:00:05,5 Class 6 IDE coding,
00:05:12,00:05:32,00:00:20,idle,
00:05:33,00:05:38,00:00:05,7 Class 8 using file explorer,
00:05:38,00:05:43,00:00:05,9 Class 10 other,
00:05:43,00:05:45,00:00:02,idle,
00:05:45,00:05:50,00:00:05,7 Class 8 using file explorer,
00:05:50,00:05:56,00:00:05,idle,
00:05:56,00:06:01,00:00:05,5 Class 6 IDE coding,
00:06:01,00:10:00,00:03:58,idle,
,,,,
,,,,
,,,,
,,00:00:06,0 Class 1 browsing the web,3.0
,,00:00:50,5 Class 6 IDE coding,11.0
,,00:00:10,6 Class 7 watching yt,2.0
,,00:00:31,7 Class 8 using file explorer,9.0
,,00:00:25,9 Class 10 other,8.0
,,00:07:32,idle,17.0
