start_time,end_time,duration,class,frequency
00:00:01,00:00:06,00:00:05,5 Class 6 coding in VSC,
00:00:06,00:26:12,00:26:05,idle,
00:26:12,00:26:17,00:00:05,0 Class 1 browsing the web,
00:26:17,00:30:54,00:04:37,idle,
00:30:58,00:31:03,00:00:05,9 Class 10 other,
00:31:03,00:31:27,00:00:24,idle,
00:31:27,00:31:32,00:00:05,0 Class 1 browsing the web,
00:31:32,00:43:16,00:11:44,idle,
00:43:18,00:43:23,00:00:05,0 Class 1 browsing the web,
00:43:23,01:05:57,00:22:34,idle,
01:05:57,01:06:02,00:00:05,5 Class 6 coding in VSC,
01:06:02,01:06:15,00:00:13,idle,
01:06:15,01:06:20,00:00:05,9 Class 10 other,
01:06:20,01:06:23,00:00:03,idle,
01:06:23,01:06:28,00:00:05,5 Class 6 coding in VSC,
01:06:28,01:06:50,00:00:22,idle,
01:06:51,01:06:56,00:00:05,5 Class 6 coding in VSC,
01:06:56,01:06:58,00:00:02,idle,
01:06:59,01:07:01,00:00:02,5 Class 6 coding in VSC,
01:07:01,01:07:05,00:00:04,2 Class 3 using github,
01:07:07,01:07:12,00:00:05,2 Class 3 using github,
01:07:12,01:07:20,00:00:08,idle,
01:07:20,01:07:25,00:00:05,5 Class 6 coding in VSC,
01:07:25,01:07:41,00:00:15,idle,
01:07:41,01:07:43,00:00:02,5 Class 6 coding in VSC,
01:07:44,01:07:49,00:00:05,5 Class 6 coding in VSC,
01:07:49,01:07:52,00:00:03,idle,
01:07:54,01:07:58,00:00:04,5 Class 6 coding in VSC,
01:08:00,01:08:02,00:00:02,0 Class 1 browsing the web,
01:08:02,01:08:05,00:00:02,6 Class 7 watching YT,
01:08:07,01:08:09,00:00:02,2 Class 3 using github,
01:08:10,01:08:12,00:00:02,3 Class 4 cmd command,
01:08:12,01:08:17,00:00:05,5 Class 6 coding in VSC,
01:08:17,01:10:04,00:01:47,idle,
01:10:06,01:10:08,00:00:02,3 Class 4 cmd command,
01:10:09,01:10:11,00:00:02,0 Class 1 browsing the web,
01:10:11,01:10:16,00:00:05,0 Class 1 browsing the web,
01:10:16,01:10:21,00:00:04,idle,
01:10:21,01:10:26,00:00:05,5 Class 6 coding in VSC,
01:10:26,01:23:13,00:12:47,idle,
01:23:18,01:23:23,00:00:05,0 Class 1 browsing the web,
01:23:23,01:23:40,00:00:16,idle,
01:23:40,01:23:45,00:00:05,11 Class 12 socials,
01:23:45,01:24:34,00:00:49,idle,
01:24:34,01:24:39,00:00:05,4 Class 5 editing docs,
01:24:39,01:30:20,00:05:40,idle,
01:30:20,01:30:22,00:00:02,5 Class 6 coding in VSC,
01:30:25,01:30:30,00:00:05,4 Class 5 editing docs,
01:30:30,01:31:30,00:00:59,idle,
01:31:30,01:31:33,00:00:03,0 Class 1 browsing the web,
01:31:35,01:31:40,00:00:05,0 Class 1 browsing the web,
01:31:40,01:31:41,00:00:01,idle,
