start_time,end_time,duration,class,frequency
00:00:00,00:00:02,00:00:02,9 Class 10 other,
00:00:02,00:00:07,00:00:05,5 Class 6 coding in VSC,
00:00:07,00:01:27,00:01:20,idle,
00:01:27,00:01:30,00:00:02,6 Class 7 watching YT,
00:01:31,00:01:36,00:00:05,5 Class 6 coding in VSC,
00:01:36,00:02:53,00:01:16,idle,
00:02:53,00:02:55,00:00:02,0 Class 1 browsing the web,
00:02:56,00:03:01,00:00:05,0 Class 1 browsing the web,
00:03:01,00:03:05,00:00:04,idle,
00:03:05,00:03:09,00:00:04,5 Class 6 coding in VSC,
00:03:10,00:03:15,00:00:05,5 Class 6 coding in VSC,
00:03:15,00:03:35,00:00:20,idle,
00:03:35,00:03:39,00:00:03,9 Class 10 other,
00:03:39,00:03:44,00:00:05,5 Class 6 coding in VSC,
00:03:44,00:04:46,00:01:02,idle,
00:04:46,00:04:49,00:00:03,0 Class 1 browsing the web,
00:04:49,00:04:54,00:00:05,4 Class 5 editing docs,
00:04:54,00:05:01,00:00:07,idle,
00:05:01,00:05:06,00:00:05,0 Class 1 browsing the web,
00:05:06,00:05:09,00:00:02,idle,
00:05:09,00:05:14,00:00:05,5 Class 6 coding in VSC,
00:05:14,00:07:12,00:01:58,idle,
00:07:12,00:07:15,00:00:03,0 Class 1 browsing the web,
00:07:15,00:07:18,00:00:02,4 Class 5 editing docs,
00:07:18,00:07:23,00:00:05,0 Class 1 browsing the web,
00:07:23,00:07:24,00:00:01,idle,
00:07:25,00:07:30,00:00:05,5 Class 6 coding in VSC,
00:07:30,00:10:34,00:03:04,idle,
00:10:34,00:10:36,00:00:02,0 Class 1 browsing the web,
00:10:37,00:10:42,00:00:05,9 Class 10 other,
00:10:42,00:11:22,00:00:39,idle,
00:11:23,00:11:28,00:00:05,0 Class 1 browsing the web,
00:11:28,00:11:33,00:00:05,idle,
00:11:34,00:11:39,00:00:05,0 Class 1 browsing the web,
00:11:39,00:12:03,00:00:24,idle,
00:12:03,00:12:08,00:00:05,5 Class 6 coding in VSC,
00:12:08,00:13:30,00:01:22,idle,
00:13:30,00:13:35,00:00:05,0 Class 1 browsing the web,
00:13:35,00:13:41,00:00:05,idle,
00:13:41,00:13:46,00:00:05,10 Class 11 code reference,
00:13:46,00:13:57,00:00:11,idle,
00:13:57,00:14:02,00:00:05,0 Class 1 browsing the web,
00:14:02,00:14:43,00:00:41,idle,
00:14:43,00:14:48,00:00:05,12 Class 13 split window,
00:14:48,00:14:53,00:00:05,0 Class 1 browsing the web,
00:14:53,00:15:13,00:00:19,idle,
00:15:15,00:15:20,00:00:05,0 Class 1 browsing the web,
00:15:20,00:16:39,00:01:18,idle,
00:16:39,00:16:44,00:00:05,11 Class 12 socials,
00:16:44,00:18:31,00:01:47,idle,
00:18:31,00:18:36,00:00:05,0 Class 1 browsing the web,
00:18:36,00:21:14,00:02:38,idle,
00:21:15,00:21:20,00:00:04,0 Class 1 browsing the web,
00:21:21,00:21:26,00:00:05,0 Class 1 browsing the web,
00:21:26,00:21:30,00:00:04,idle,
00:21:31,00:21:36,00:00:05,0 Class 1 browsing the web,
00:21:36,00:25:43,00:04:07,idle,
00:25:43,00:25:47,00:00:04,0 Class 1 browsing the web,
00:25:48,00:25:51,00:00:03,0 Class 1 browsing the web,
00:25:52,00:25:57,00:00:05,0 Class 1 browsing the web,
00:25:57,00:36:39,00:10:42,idle,
00:36:40,00:36:45,00:00:05,0 Class 1 browsing the web,
00:36:45,00:39:37,00:02:52,idle,
00:39:39,00:39:43,00:00:04,5 Class 6 coding in VSC,
00:39:43,00:39:48,00:00:05,0 Class 1 browsing the web,
00:39:48,00:41:33,00:01:44,idle,
00:41:33,00:41:38,00:00:05,5 Class 6 coding in VSC,
00:41:38,00:42:36,00:00:58,idle,
00:42:36,00:42:41,00:00:05,0 Class 1 browsing the web,
00:42:41,00:43:12,00:00:31,idle,
00:43:17,00:43:22,00:00:05,0 Class 1 browsing the web,
00:43:22,00:44:08,00:00:46,idle,
00:44:08,00:44:11,00:00:02,5 Class 6 coding in VSC,
00:44:11,00:44:16,00:00:05,0 Class 1 browsing the web,
00:44:16,00:44:20,00:00:04,idle,
00:44:20,00:44:25,00:00:05,5 Class 6 coding in VSC,
00:44:25,00:45:00,00:00:35,idle,
00:45:00,00:45:03,00:00:03,0 Class 1 browsing the web,
00:45:04,00:45:09,00:00:05,0 Class 1 browsing the web,
00:45:09,00:45:15,00:00:06,idle,
00:45:17,00:45:19,00:00:02,0 Class 1 browsing the web,
00:45:21,00:45:25,00:00:04,2 Class 3 using github,
00:45:25,00:45:31,00:00:05,0 Class 1 browsing the web,
00:45:31,00:45:34,00:00:03,9 Class 10 other,
00:45:36,00:45:41,00:00:05,0 Class 1 browsing the web,
00:45:41,00:45:46,00:00:05,2 Class 3 using github,
00:45:46,00:45:47,00:00:01,idle,
00:45:47,00:45:53,00:00:05,0 Class 1 browsing the web,
00:45:53,00:45:58,00:00:05,9 Class 10 other,
00:45:58,00:46:03,00:00:05,0 Class 1 browsing the web,
00:46:03,00:46:17,00:00:14,idle,
00:46:19,00:46:21,00:00:02,9 Class 10 other,
00:46:23,00:46:26,00:00:03,9 Class 10 other,
00:46:27,00:46:30,00:00:03,9 Class 10 other,
00:46:34,00:46:39,00:00:05,9 Class 10 other,
00:46:39,00:46:45,00:00:06,idle,
00:46:46,00:46:48,00:00:02,2 Class 3 using github,
00:46:48,00:46:53,00:00:05,0 Class 1 browsing the web,
00:46:53,00:46:54,00:00:01,idle,
00:46:57,00:47:02,00:00:05,9 Class 10 other,
00:47:02,00:47:50,00:00:48,idle,
00:47:51,00:47:54,00:00:03,0 Class 1 browsing the web,
00:47:54,00:47:59,00:00:05,5 Class 6 coding in VSC,
00:47:59,00:49:28,00:01:29,idle,
00:49:31,00:49:36,00:00:05,0 Class 1 browsing the web,
00:49:36,00:50:14,00:00:38,idle,
00:50:16,00:50:18,00:00:02,0 Class 1 browsing the web,
00:50:18,00:50:23,00:00:05,0 Class 1 browsing the web,
00:50:23,00:50:34,00:00:11,idle,
00:50:36,00:50:41,00:00:05,9 Class 10 other,
00:50:41,00:51:49,00:01:08,idle,
00:51:50,00:51:53,00:00:03,9 Class 10 other,
00:51:53,00:51:58,00:00:05,0 Class 1 browsing the web,
00:51:58,01:01:24,00:09:26,idle,
01:01:27,01:01:32,00:00:05,0 Class 1 browsing the web,
01:01:32,01:02:26,00:00:54,idle,
01:02:29,01:02:32,00:00:03,9 Class 10 other,
01:02:33,01:02:35,00:00:02,9 Class 10 other,
01:02:35,01:02:37,00:00:02,0 Class 1 browsing the web,
01:02:37,01:02:42,00:00:05,2 Class 3 using github,
01:02:42,01:02:46,00:00:04,idle,
01:02:46,01:02:50,00:00:04,0 Class 1 browsing the web,
01:02:52,01:02:55,00:00:03,0 Class 1 browsing the web,
01:03:01,01:03:03,00:00:02,9 Class 10 other,
01:03:05,01:03:10,00:00:05,9 Class 10 other,
01:03:10,01:03:34,00:00:24,idle,
01:03:34,01:03:37,00:00:02,5 Class 6 coding in VSC,
01:03:38,01:03:40,00:00:02,5 Class 6 coding in VSC,
01:03:40,01:03:45,00:00:05,9 Class 10 other,
01:03:45,01:03:46,00:00:01,idle,
01:03:46,01:03:51,00:00:05,0 Class 1 browsing the web,
01:03:51,01:04:21,00:00:30,idle,
01:04:22,01:04:24,00:00:02,0 Class 1 browsing the web,
01:04:24,01:04:29,00:00:05,5 Class 6 coding in VSC,
01:04:29,01:04:42,00:00:13,idle,
01:04:49,01:04:54,00:00:05,0 Class 1 browsing the web,
01:04:54,01:09:37,00:04:42,idle,
01:09:38,01:09:42,00:00:04,0 Class 1 browsing the web,
01:09:43,01:09:48,00:00:05,0 Class 1 browsing the web,
01:09:48,01:11:23,00:01:34,idle,
