start_time,end_time,duration,class,frequency
00:00:00,00:00:04,00:00:04,9 Class 10 other,
00:00:04,00:00:09,00:00:05,5 Class 6 coding in VSC,
00:00:09,00:03:24,00:03:15,idle,
00:03:24,00:03:29,00:00:05,9 Class 10 other,
00:03:29,00:03:39,00:00:10,idle,
00:03:39,00:03:44,00:00:05,5 Class 6 coding in VSC,
00:03:44,00:06:50,00:03:06,idle,
00:06:50,00:06:55,00:00:05,6 Class 7 watching YT,
00:06:55,00:07:05,00:00:09,idle,
00:07:05,00:07:08,00:00:03,0 Class 1 browsing the web,
00:07:08,00:07:13,00:00:05,5 Class 6 coding in VSC,
00:07:13,00:07:24,00:00:11,idle,
00:07:24,00:07:27,00:00:02,6 Class 7 watching YT,
00:07:27,00:07:32,00:00:05,6 Class 7 watching YT,
00:07:32,00:07:36,00:00:03,idle,
00:07:36,00:07:39,00:00:03,0 Class 1 browsing the web,
00:07:39,00:07:44,00:00:05,5 Class 6 coding in VSC,
00:07:44,00:11:02,00:03:17,idle,
00:11:02,00:11:06,00:00:03,5 Class 6 coding in VSC,
00:11:08,00:11:10,00:00:02,5 Class 6 coding in VSC,
00:11:13,00:11:18,00:00:05,5 Class 6 coding in VSC,
00:11:18,00:16:31,00:05:13,idle,
00:16:31,00:16:35,00:00:03,12 Class 13 split window,
00:16:35,00:16:40,00:00:05,5 Class 6 coding in VSC,
00:16:40,00:21:24,00:04:44,idle,
00:21:25,00:21:30,00:00:05,4 Class 5 editing docs,
00:21:30,00:22:16,00:00:46,idle,
00:22:17,00:22:21,00:00:04,6 Class 7 watching YT,
00:22:21,00:22:26,00:00:05,4 Class 5 editing docs,
00:22:26,00:32:43,00:10:16,idle,
00:32:44,00:32:49,00:00:05,6 Class 7 watching YT,
00:32:49,00:33:10,00:00:21,idle,
00:33:10,00:33:15,00:00:05,4 Class 5 editing docs,
00:33:15,00:34:24,00:01:09,idle,
00:34:25,00:34:27,00:00:02,3 Class 4 cmd command,
00:34:29,00:34:32,00:00:02,6 Class 7 watching YT,
