start_time,end_time,duration,class,frequency
00:00:00,00:00:03,00:00:03,9 Class 10 other,
00:00:03,00:00:08,00:00:05,0 Class 1 browsing the web,
00:00:08,00:00:54,00:00:46,idle,
00:00:54,00:00:59,00:00:05,5 Class 6 coding in VSC,
00:00:59,00:03:18,00:02:18,idle,
00:03:18,00:03:21,00:00:03,0 Class 1 browsing the web,
00:03:28,00:03:30,00:00:02,0 Class 1 browsing the web,
00:03:30,00:03:32,00:00:02,6 Class 7 watching YT,
00:03:32,00:03:35,00:00:03,0 Class 1 browsing the web,
00:03:35,00:03:40,00:00:05,5 Class 6 coding in VSC,
00:03:40,00:03:44,00:00:04,idle,
00:03:44,00:03:49,00:00:05,0 Class 1 browsing the web,
00:03:49,00:03:50,00:00:01,idle,
00:03:52,00:03:57,00:00:05,0 Class 1 browsing the web,
00:03:57,00:04:01,00:00:04,idle,
00:04:01,00:04:06,00:00:05,5 Class 6 coding in VSC,
00:04:06,00:05:05,00:00:58,idle,
00:05:06,00:05:11,00:00:05,5 Class 6 coding in VSC,
00:05:11,00:05:53,00:00:42,idle,
00:05:53,00:05:55,00:00:02,0 Class 1 browsing the web,
00:05:55,00:05:58,00:00:03,4 Class 5 editing docs,
00:05:58,00:06:03,00:00:05,0 Class 1 browsing the web,
00:06:04,00:06:06,00:00:02,0 Class 1 browsing the web,
00:06:07,00:06:12,00:00:05,0 Class 1 browsing the web,
00:06:12,00:08:30,00:02:18,idle,
00:08:35,00:08:38,00:00:02,1 Class 2 reading technical documentation,
00:08:38,00:08:41,00:00:02,0 Class 1 browsing the web,
00:08:41,00:08:43,00:00:02,10 Class 11 code reference,
00:08:43,00:08:47,00:00:03,0 Class 1 browsing the web,
00:08:47,00:08:52,00:00:05,10 Class 11 code reference,
00:08:52,00:09:41,00:00:49,idle,
00:09:42,00:09:47,00:00:05,0 Class 1 browsing the web,
00:09:47,00:09:48,00:00:01,idle,
00:09:48,00:09:54,00:00:05,5 Class 6 coding in VSC,
00:09:54,00:09:58,00:00:04,9 Class 10 other,
00:09:58,00:10:03,00:00:05,5 Class 6 coding in VSC,
00:10:03,00:12:17,00:02:14,idle,
00:12:17,00:12:20,00:00:03,9 Class 10 other,
00:12:20,00:12:25,00:00:05,5 Class 6 coding in VSC,
00:12:25,00:12:34,00:00:09,idle,
00:12:34,00:12:39,00:00:05,0 Class 1 browsing the web,
00:12:39,00:13:24,00:00:44,idle,
00:13:25,00:13:30,00:00:05,11 Class 12 socials,
00:13:30,00:16:00,00:02:30,idle,
00:16:00,00:16:05,00:00:05,6 Class 7 watching YT,
00:16:05,00:16:12,00:00:07,idle,
00:16:12,00:16:15,00:00:02,5 Class 6 coding in VSC,
00:16:21,00:16:26,00:00:05,0 Class 1 browsing the web,
00:16:26,00:18:48,00:02:22,idle,
