start_time,end_time,duration,class,frequency
00:00:00,00:00:04,00:00:04,9 Class 10 other,
00:00:04,00:00:09,00:00:05,0 Class 1 browsing the web,
00:00:09,00:00:16,00:00:07,idle,
00:00:16,00:00:19,00:00:02,5 Class 6 coding in VSC,
00:00:19,00:00:24,00:00:05,0 Class 1 browsing the web,
00:00:24,00:00:29,00:00:05,5 Class 6 coding in VSC,
00:00:29,00:00:34,00:00:04,idle,
00:00:34,00:00:36,00:00:02,0 Class 1 browsing the web,
00:00:36,00:00:41,00:00:05,5 Class 6 coding in VSC,
00:00:41,00:02:13,00:01:32,idle,
00:02:13,00:02:16,00:00:03,0 Class 1 browsing the web,
00:02:18,00:02:22,00:00:04,0 Class 1 browsing the web,
00:02:23,00:02:28,00:00:05,0 Class 1 browsing the web,
00:02:28,00:03:45,00:01:17,idle,
00:03:47,00:03:52,00:00:05,0 Class 1 browsing the web,
00:03:52,00:04:04,00:00:12,idle,
00:04:04,00:04:09,00:00:05,5 Class 6 coding in VSC,
00:04:09,00:06:12,00:02:02,idle,
00:06:14,00:06:19,00:00:05,5 Class 6 coding in VSC,
00:06:19,00:12:20,00:06:00,idle,
00:12:21,00:12:26,00:00:05,5 Class 6 coding in VSC,
00:12:26,00:12:47,00:00:21,idle,
00:12:47,00:12:49,00:00:02,0 Class 1 browsing the web,
00:12:49,00:12:54,00:00:05,4 Class 5 editing docs,
00:12:54,00:13:09,00:00:15,idle,
00:13:11,00:13:16,00:00:05,9 Class 10 other,
00:13:16,00:13:18,00:00:01,idle,
00:13:19,00:13:21,00:00:02,9 Class 10 other,
00:13:22,00:13:27,00:00:05,9 Class 10 other,
00:13:27,00:13:37,00:00:10,idle,
00:13:37,00:13:42,00:00:05,4 Class 5 editing docs,
00:13:42,00:14:14,00:00:32,idle,
00:14:14,00:14:19,00:00:05,9 Class 10 other,
00:14:20,00:14:25,00:00:05,4 Class 5 editing docs,
00:14:25,00:16:18,00:01:53,idle,
00:16:18,00:16:21,00:00:03,0 Class 1 browsing the web,
00:16:26,00:16:29,00:00:02,0 Class 1 browsing the web,
00:16:29,00:16:34,00:00:05,10 Class 11 code reference,
00:16:34,00:16:37,00:00:03,idle,
00:16:37,00:16:42,00:00:05,0 Class 1 browsing the web,
00:16:42,00:18:24,00:01:41,idle,
00:18:24,00:18:26,00:00:02,10 Class 11 code reference,
00:18:26,00:18:31,00:00:05,0 Class 1 browsing the web,
