start_time,end_time,duration,class,frequency
00:00:00,00:00:02,00:00:02,9 Class 10 other,
00:00:02,00:00:07,00:00:05,2 Class 3 using github,
00:00:07,00:01:20,00:01:12,idle,
00:01:21,00:01:26,00:00:05,9 Class 10 other,
00:01:26,00:02:37,00:01:11,idle,
00:02:39,00:02:42,00:00:03,7 Class 8 using file explorer,
00:02:42,00:02:47,00:00:05,2 Class 3 using github,
00:02:47,00:03:02,00:00:14,idle,
00:03:06,00:03:11,00:00:05,0 Class 1 browsing the web,
00:03:11,00:03:13,00:00:02,9 Class 10 other,
00:03:13,00:03:18,00:00:05,11 Class 12 socials,
00:03:18,00:03:34,00:00:16,idle,
00:03:37,00:03:42,00:00:05,11 Class 12 socials,
00:03:42,00:04:16,00:00:34,idle,
00:04:16,00:04:18,00:00:02,0 Class 1 browsing the web,
00:04:19,00:04:22,00:00:03,0 Class 1 browsing the web,
00:04:26,00:04:31,00:00:05,0 Class 1 browsing the web,
00:04:31,00:05:20,00:00:49,idle,
00:05:21,00:05:26,00:00:05,0 Class 1 browsing the web,
00:05:26,00:18:16,00:12:49,idle,
00:18:19,00:18:24,00:00:05,0 Class 1 browsing the web,
00:18:24,00:18:26,00:00:02,idle,
00:18:27,00:18:32,00:00:05,0 Class 1 browsing the web,
00:18:32,00:18:55,00:00:23,idle,
00:18:55,00:19:00,00:00:05,4 Class 5 editing docs,
00:19:00,00:19:07,00:00:06,idle,
00:19:07,00:19:09,00:00:02,0 Class 1 browsing the web,
00:19:09,00:19:14,00:00:05,11 Class 12 socials,
00:19:14,00:19:21,00:00:06,idle,
00:19:21,00:19:26,00:00:05,0 Class 1 browsing the web,
00:19:26,00:33:28,00:14:02,idle,
00:33:30,00:33:35,00:00:05,4 Class 5 editing docs,
00:33:35,00:33:43,00:00:08,idle,
00:33:43,00:33:48,00:00:05,0 Class 1 browsing the web,
00:33:48,00:38:05,00:04:17,idle,
00:38:06,00:38:08,00:00:02,5 Class 6 coding in VSC,
00:38:12,00:38:17,00:00:05,9 Class 10 other,
00:38:17,00:38:19,00:00:02,idle,
00:38:19,00:38:24,00:00:05,0 Class 1 browsing the web,
00:38:24,00:38:26,00:00:01,idle,
00:38:27,00:38:31,00:00:04,9 Class 10 other,
00:38:31,00:38:36,00:00:05,5 Class 6 coding in VSC,
00:38:36,00:40:32,00:01:56,idle,
00:40:37,00:40:42,00:00:05,0 Class 1 browsing the web,
00:40:42,00:40:51,00:00:09,idle,
00:40:51,00:40:56,00:00:05,5 Class 6 coding in VSC,
00:40:56,00:40:58,00:00:01,idle,
00:40:58,00:41:03,00:00:05,0 Class 1 browsing the web,
00:41:03,00:41:09,00:00:06,idle,
00:41:12,00:41:17,00:00:05,0 Class 1 browsing the web,
00:41:17,00:43:50,00:02:33,idle,
00:43:50,00:43:55,00:00:05,5 Class 6 coding in VSC,
00:43:55,00:45:29,00:01:33,idle,
00:45:29,00:45:34,00:00:05,0 Class 1 browsing the web,
00:45:34,00:45:44,00:00:10,idle,
00:45:44,00:45:49,00:00:05,5 Class 6 coding in VSC,
00:45:49,00:45:50,00:00:01,idle,
00:45:50,00:45:55,00:00:05,0 Class 1 browsing the web,
00:45:55,00:47:50,00:01:55,idle,
00:47:50,00:47:55,00:00:04,5 Class 6 coding in VSC,
00:47:55,00:48:00,00:00:05,0 Class 1 browsing the web,
00:48:00,00:48:03,00:00:03,idle,
00:48:03,00:48:07,00:00:04,5 Class 6 coding in VSC,
00:48:07,00:48:12,00:00:05,0 Class 1 browsing the web,
00:48:12,00:48:46,00:00:34,idle,
00:48:48,00:48:53,00:00:05,0 Class 1 browsing the web,
00:48:53,00:49:18,00:00:25,idle,
00:49:20,00:49:25,00:00:05,9 Class 10 other,
00:49:26,00:49:31,00:00:05,9 Class 10 other,
00:49:31,00:51:12,00:01:41,idle,
00:51:13,00:51:18,00:00:05,0 Class 1 browsing the web,
00:51:18,00:57:38,00:06:20,idle,
00:57:42,00:57:47,00:00:05,5 Class 6 coding in VSC,
00:57:47,00:58:28,00:00:40,idle,
00:58:28,00:58:30,00:00:02,0 Class 1 browsing the web,
