start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:01:13,00:01:08,idle,
00:01:14,00:01:19,00:00:05,9 Class 10 other,
00:01:19,00:02:07,00:00:47,idle,
00:02:07,00:02:09,00:00:02,0 Class 1 browsing the web,
00:02:11,00:02:14,00:00:03,7 Class 8 using file explorer,
00:02:14,00:02:19,00:00:05,3 Class 4 cmd command,
00:02:19,00:02:24,00:00:04,idle,
00:02:25,00:02:30,00:00:05,9 Class 10 other,
00:02:30,00:02:32,00:00:01,idle,
00:02:32,00:02:34,00:00:02,0 Class 1 browsing the web,
00:02:34,00:02:39,00:00:05,9 Class 10 other,
00:02:39,00:03:26,00:00:47,idle,
00:03:26,00:03:29,00:00:02,9 Class 10 other,
00:03:30,00:03:35,00:00:05,9 Class 10 other,
00:03:36,00:03:41,00:00:05,9 Class 10 other,
00:03:41,00:04:11,00:00:29,idle,
00:04:21,00:04:24,00:00:03,4 Class 5 editing docs,
00:04:26,00:04:31,00:00:05,12 Class 13 split window,
00:04:31,00:04:53,00:00:22,idle,
00:04:56,00:04:59,00:00:03,0 Class 1 browsing the web,
00:05:00,00:05:02,00:00:02,0 Class 1 browsing the web,
00:05:02,00:05:07,00:00:05,9 Class 10 other,
00:05:07,00:09:55,00:04:47,idle,
00:09:55,00:10:00,00:00:05,2 Class 3 using github,
00:10:00,00:10:01,00:00:01,idle,
00:10:14,00:10:16,00:00:02,9 Class 10 other,
00:10:17,00:10:22,00:00:05,9 Class 10 other,
00:10:22,00:17:53,00:07:31,idle,
00:17:53,00:17:56,00:00:03,0 Class 1 browsing the web,
00:17:57,00:18:02,00:00:05,0 Class 1 browsing the web,
00:18:02,00:18:05,00:00:03,idle,
00:18:05,00:18:10,00:00:05,0 Class 1 browsing the web,
00:18:10,00:18:22,00:00:11,idle,
00:18:22,00:18:27,00:00:05,0 Class 1 browsing the web,
00:18:27,00:18:38,00:00:11,idle,
00:18:39,00:18:44,00:00:05,0 Class 1 browsing the web,
00:18:44,00:19:07,00:00:23,idle,
00:19:09,00:19:11,00:00:02,0 Class 1 browsing the web,
00:19:11,00:19:16,00:00:05,0 Class 1 browsing the web,
00:19:16,00:19:24,00:00:07,idle,
00:19:26,00:19:31,00:00:05,0 Class 1 browsing the web,
00:19:31,00:19:33,00:00:02,idle,
00:19:33,00:19:37,00:00:03,4 Class 5 editing docs,
00:19:37,00:19:39,00:00:02,0 Class 1 browsing the web,
00:19:41,00:19:44,00:00:03,4 Class 5 editing docs,
00:19:44,00:19:49,00:00:05,12 Class 13 split window,
00:19:49,00:20:02,00:00:12,idle,
00:20:02,00:20:05,00:00:02,0 Class 1 browsing the web,
00:20:06,00:20:11,00:00:05,0 Class 1 browsing the web,
00:20:11,00:20:16,00:00:05,idle,
00:20:16,00:20:20,00:00:04,4 Class 5 editing docs,
00:20:20,00:20:23,00:00:03,0 Class 1 browsing the web,
00:20:24,00:20:26,00:00:02,2 Class 3 using github,
00:20:38,00:20:42,00:00:03,0 Class 1 browsing the web,
00:20:42,00:20:45,00:00:03,9 Class 10 other,
00:20:45,00:20:50,00:00:05,0 Class 1 browsing the web,
00:20:50,00:21:01,00:00:11,idle,
00:21:03,00:21:08,00:00:05,0 Class 1 browsing the web,
00:21:08,00:29:03,00:07:55,idle,
00:29:03,00:29:08,00:00:05,12 Class 13 split window,
00:29:08,00:31:23,00:02:15,idle,
00:31:23,00:31:28,00:00:05,0 Class 1 browsing the web,
00:31:28,00:33:00,00:01:32,idle,
00:33:03,00:33:06,00:00:03,4 Class 5 editing docs,
00:33:06,00:33:11,00:00:05,4 Class 5 editing docs,
00:33:11,00:33:24,00:00:12,idle,
00:33:24,00:33:29,00:00:05,4 Class 5 editing docs,
00:33:29,00:33:35,00:00:06,idle,
00:33:36,00:33:40,00:00:04,4 Class 5 editing docs,
00:33:42,00:33:45,00:00:03,4 Class 5 editing docs,
00:33:48,00:33:53,00:00:05,0 Class 1 browsing the web,
00:33:53,00:34:16,00:00:23,idle,
00:34:16,00:34:21,00:00:05,4 Class 5 editing docs,
00:34:21,00:34:25,00:00:04,idle,
00:34:27,00:34:32,00:00:05,4 Class 5 editing docs,
00:34:32,00:34:46,00:00:13,idle,
00:34:46,00:34:50,00:00:04,4 Class 5 editing docs,
00:34:51,00:34:56,00:00:05,4 Class 5 editing docs,
00:34:56,00:34:57,00:00:01,idle,
00:34:59,00:35:04,00:00:05,0 Class 1 browsing the web,
00:35:04,00:35:07,00:00:03,idle,
00:35:13,00:35:18,00:00:05,4 Class 5 editing docs,
00:35:18,00:35:23,00:00:05,idle,
00:35:24,00:35:29,00:00:05,4 Class 5 editing docs,
00:35:29,00:35:43,00:00:14,idle,
00:35:56,00:36:01,00:00:05,4 Class 5 editing docs,
00:36:01,00:36:08,00:00:06,idle,
00:36:14,00:36:19,00:00:05,4 Class 5 editing docs,
00:36:19,00:36:22,00:00:03,idle,
00:36:28,00:36:33,00:00:04,4 Class 5 editing docs,
00:36:39,00:36:44,00:00:05,4 Class 5 editing docs,
00:36:44,00:36:47,00:00:03,idle,
00:36:47,00:36:52,00:00:05,4 Class 5 editing docs,
00:36:52,00:36:58,00:00:05,idle,
00:37:04,00:37:09,00:00:05,4 Class 5 editing docs,
00:37:09,00:37:12,00:00:03,idle,
00:37:12,00:37:17,00:00:05,4 Class 5 editing docs,
00:37:17,00:37:23,00:00:05,idle,
00:37:29,00:37:34,00:00:05,4 Class 5 editing docs,
00:37:34,00:37:37,00:00:03,idle,
00:37:37,00:37:42,00:00:05,4 Class 5 editing docs,
00:37:42,00:37:48,00:00:05,idle,
00:37:54,00:37:59,00:00:05,4 Class 5 editing docs,
00:37:59,00:38:02,00:00:03,idle,
00:38:02,00:38:07,00:00:05,4 Class 5 editing docs,
00:38:07,00:38:13,00:00:05,idle,
00:38:19,00:38:24,00:00:05,4 Class 5 editing docs,
00:38:24,00:38:27,00:00:03,idle,
00:38:27,00:38:32,00:00:05,4 Class 5 editing docs,
00:38:32,00:38:38,00:00:05,idle,
00:38:52,00:38:57,00:00:05,4 Class 5 editing docs,
00:38:57,00:39:03,00:00:05,idle,
00:39:09,00:39:14,00:00:05,4 Class 5 editing docs,
00:39:14,00:39:17,00:00:03,idle,
00:39:17,00:39:22,00:00:05,4 Class 5 editing docs,
00:39:22,00:39:28,00:00:05,idle,
00:39:42,00:39:47,00:00:05,4 Class 5 editing docs,
00:39:47,00:39:53,00:00:05,idle,
00:39:59,00:40:04,00:00:05,4 Class 5 editing docs,
00:40:04,00:40:07,00:00:03,idle,
00:40:07,00:40:12,00:00:05,4 Class 5 editing docs,
00:40:12,00:40:18,00:00:05,idle,
00:40:32,00:40:37,00:00:05,4 Class 5 editing docs,
00:40:37,00:40:41,00:00:04,idle,
00:40:49,00:40:54,00:00:05,4 Class 5 editing docs,
00:40:54,00:40:57,00:00:03,idle,
00:40:57,00:41:02,00:00:05,0 Class 1 browsing the web,
00:41:02,00:41:05,00:00:03,idle,
00:41:05,00:41:10,00:00:05,4 Class 5 editing docs,
00:41:10,00:41:14,00:00:04,idle,
00:41:14,00:41:19,00:00:05,0 Class 1 browsing the web,
00:41:19,00:41:22,00:00:02,idle,
00:41:22,00:41:25,00:00:03,4 Class 5 editing docs,
00:41:25,00:41:31,00:00:05,4 Class 5 editing docs,
00:41:38,00:41:40,00:00:02,4 Class 5 editing docs,
00:41:46,00:41:51,00:00:05,4 Class 5 editing docs,
00:41:51,00:41:58,00:00:06,idle,
00:42:02,00:42:05,00:00:02,4 Class 5 editing docs,
00:42:11,00:42:16,00:00:05,4 Class 5 editing docs,
00:42:16,00:42:23,00:00:06,idle,
00:42:27,00:42:32,00:00:05,4 Class 5 editing docs,
00:42:32,00:42:48,00:00:15,idle,
