start_time,end_time,duration,class,frequency
00:00:00,00:00:04,00:00:04,9 Class 10 other,
00:00:06,00:00:11,00:00:05,0 Class 1 browsing the web,
00:00:11,00:01:02,00:00:51,idle,
00:01:03,00:01:05,00:00:02,11 Class 12 socials,
00:01:05,00:01:07,00:00:02,0 Class 1 browsing the web,
00:01:07,00:01:10,00:00:02,4 Class 5 editing docs,
00:01:10,00:01:12,00:00:02,12 Class 13 split window,
00:01:12,00:01:14,00:00:02,4 Class 5 editing docs,
00:01:15,00:01:20,00:00:05,4 Class 5 editing docs,
00:01:20,00:01:35,00:00:15,idle,
00:01:35,00:01:37,00:00:02,0 Class 1 browsing the web,
00:01:37,00:01:39,00:00:02,6 Class 7 watching YT,
00:01:39,00:01:44,00:00:05,4 Class 5 editing docs,
00:01:44,00:01:53,00:00:09,idle,
00:01:53,00:01:57,00:00:03,11 Class 12 socials,
00:01:58,00:02:03,00:00:05,6 Class 7 watching YT,
00:02:03,00:02:07,00:00:04,idle,
00:02:07,00:02:12,00:00:05,0 Class 1 browsing the web,
00:02:12,00:15:44,00:13:32,idle,
00:15:44,00:15:46,00:00:02,5 Class 6 coding in VSC,
00:15:50,00:15:55,00:00:05,0 Class 1 browsing the web,
00:15:55,00:16:00,00:00:05,11 Class 12 socials,
00:16:00,00:16:37,00:00:37,idle,
00:16:38,00:16:43,00:00:05,4 Class 5 editing docs,
00:16:43,00:17:17,00:00:34,idle,
00:17:20,00:17:22,00:00:02,4 Class 5 editing docs,
00:17:27,00:17:32,00:00:05,4 Class 5 editing docs,
00:17:32,00:17:35,00:00:03,idle,
00:17:36,00:17:38,00:00:02,0 Class 1 browsing the web,
00:17:38,00:17:41,00:00:03,4 Class 5 editing docs,
00:17:41,00:17:45,00:00:04,0 Class 1 browsing the web,
00:17:46,00:17:51,00:00:05,0 Class 1 browsing the web,
00:17:51,00:18:34,00:00:43,idle,
00:18:35,00:18:40,00:00:04,0 Class 1 browsing the web,
00:18:40,00:18:45,00:00:05,4 Class 5 editing docs,
00:18:45,00:18:58,00:00:13,idle,
00:18:59,00:19:04,00:00:05,4 Class 5 editing docs,
00:19:04,00:19:22,00:00:18,idle,
00:19:25,00:19:28,00:00:03,0 Class 1 browsing the web,
00:19:28,00:19:33,00:00:05,4 Class 5 editing docs,
00:19:33,00:33:11,00:13:37,idle,
00:33:11,00:33:15,00:00:04,6 Class 7 watching YT,
00:33:15,00:33:20,00:00:05,4 Class 5 editing docs,
00:33:20,00:38:38,00:05:18,idle,
00:38:39,00:38:44,00:00:05,4 Class 5 editing docs,
00:38:44,00:45:08,00:06:24,idle,
00:45:08,00:45:13,00:00:05,5 Class 6 coding in VSC,
00:45:13,00:45:27,00:00:14,idle,
00:45:29,00:45:32,00:00:03,5 Class 6 coding in VSC,
00:45:33,00:45:36,00:00:03,5 Class 6 coding in VSC,
00:45:36,00:45:41,00:00:05,4 Class 5 editing docs,
00:45:41,00:54:33,00:08:52,idle,
00:54:35,00:54:40,00:00:05,2 Class 3 using github,
00:54:40,00:54:43,00:00:02,idle,
00:54:43,00:54:48,00:00:05,5 Class 6 coding in VSC,
00:54:48,00:54:51,00:00:03,idle,
00:54:51,00:54:55,00:00:03,7 Class 8 using file explorer,
00:54:55,00:54:58,00:00:03,5 Class 6 coding in VSC,
00:54:58,00:55:00,00:00:02,7 Class 8 using file explorer,
00:55:03,00:55:08,00:00:05,2 Class 3 using github,
00:55:08,00:55:31,00:00:23,idle,
00:55:32,00:55:35,00:00:02,2 Class 3 using github,
00:55:35,00:55:37,00:00:02,4 Class 5 editing docs,
00:55:37,00:55:40,00:00:03,0 Class 1 browsing the web,
00:55:41,00:55:46,00:00:05,0 Class 1 browsing the web,
00:55:46,00:55:47,00:00:01,idle,
00:55:48,00:55:53,00:00:05,0 Class 1 browsing the web,
00:55:53,00:55:57,00:00:04,idle,
00:55:57,00:56:02,00:00:05,2 Class 3 using github,
00:56:02,00:56:04,00:00:02,idle,
00:56:04,00:56:09,00:00:05,0 Class 1 browsing the web,
00:56:09,00:56:14,00:00:04,idle,
00:56:14,00:56:16,00:00:02,2 Class 3 using github,
00:56:16,00:56:21,00:00:05,0 Class 1 browsing the web,
00:56:21,00:56:24,00:00:02,idle,
00:56:24,00:56:29,00:00:05,2 Class 3 using github,
