start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:08,00:00:13,00:00:05,5 Class 6 coding in VSC,
00:00:13,00:01:19,00:01:06,idle,
00:01:20,00:01:25,00:00:05,5 Class 6 coding in VSC,
00:01:25,00:02:10,00:00:44,idle,
00:02:10,00:02:14,00:00:04,3 Class 4 cmd command,
00:02:17,00:02:19,00:00:02,0 Class 1 browsing the web,
00:02:19,00:02:24,00:00:05,5 Class 6 coding in VSC,
00:02:24,00:02:49,00:00:24,idle,
00:02:49,00:02:54,00:00:05,5 Class 6 coding in VSC,
00:02:54,00:03:22,00:00:28,idle,
00:03:22,00:03:24,00:00:02,2 Class 3 using github,
00:03:24,00:03:27,00:00:02,5 Class 6 coding in VSC,
00:03:27,00:03:31,00:00:04,2 Class 3 using github,
00:03:32,00:03:37,00:00:05,5 Class 6 coding in VSC,
00:03:37,00:03:40,00:00:03,idle,
00:03:41,00:03:43,00:00:02,2 Class 3 using github,
00:03:43,00:03:48,00:00:05,5 Class 6 coding in VSC,
00:03:48,00:49:11,00:45:22,idle,
00:49:16,00:49:21,00:00:05,6 Class 7 watching YT,
00:49:21,00:49:25,00:00:04,idle,
00:49:25,00:49:30,00:00:05,0 Class 1 browsing the web,
00:49:31,00:49:36,00:00:05,6 Class 7 watching YT,
00:49:36,00:52:02,00:02:26,idle,
00:52:02,00:52:07,00:00:05,0 Class 1 browsing the web,
00:52:07,00:52:12,00:00:05,idle,
00:52:14,00:52:19,00:00:05,0 Class 1 browsing the web,
00:52:19,00:52:24,00:00:05,6 Class 7 watching YT,
00:52:24,00:53:40,00:01:16,idle,
00:53:40,00:53:42,00:00:02,10 Class 11 code reference,
00:53:42,00:53:45,00:00:02,5 Class 6 coding in VSC,
00:53:48,00:53:52,00:00:04,0 Class 1 browsing the web,
00:53:53,00:53:58,00:00:05,0 Class 1 browsing the web,
00:53:58,00:54:02,00:00:03,idle,
00:54:04,00:54:09,00:00:05,10 Class 11 code reference,
00:54:09,00:54:10,00:00:01,idle,
00:54:11,00:54:14,00:00:03,10 Class 11 code reference,
00:54:15,00:54:18,00:00:03,10 Class 11 code reference,
00:54:18,00:54:23,00:00:05,6 Class 7 watching YT,
00:54:23,00:54:33,00:00:09,idle,
00:54:33,00:54:38,00:00:05,0 Class 1 browsing the web,
00:54:38,00:54:42,00:00:04,idle,
00:54:42,00:54:45,00:00:03,4 Class 5 editing docs,
00:54:45,00:54:50,00:00:04,0 Class 1 browsing the web,
00:54:50,00:54:54,00:00:04,8 Class 9 preview output,
00:54:56,00:55:01,00:00:05,5 Class 6 coding in VSC,
00:55:01,00:55:14,00:00:13,idle,
00:55:14,00:55:17,00:00:02,0 Class 1 browsing the web,
00:55:17,00:55:22,00:00:05,2 Class 3 using github,
00:55:22,00:55:43,00:00:21,idle,
00:55:44,00:55:49,00:00:05,1 Class 2 reading technical documentation,
00:55:49,00:55:56,00:00:07,idle,
00:55:56,00:56:01,00:00:04,0 Class 1 browsing the web,
00:56:04,00:56:07,00:00:03,2 Class 3 using github,
00:56:07,00:56:10,00:00:02,2 Class 3 using github,
00:56:10,00:56:12,00:00:02,5 Class 6 coding in VSC,
00:56:12,00:56:14,00:00:02,0 Class 1 browsing the web,
00:56:18,00:56:20,00:00:02,4 Class 5 editing docs,
00:56:20,00:56:25,00:00:05,2 Class 3 using github,
00:56:25,00:56:29,00:00:04,idle,
00:56:29,00:56:32,00:00:03,2 Class 3 using github,
