start_time,end_time,duration,class,frequency
00:00:00,00:00:03,00:00:03,9 Class 10 other,
00:00:03,00:00:07,00:00:04,6 Class 7 watching YT,
00:00:09,00:00:11,00:00:02,6 Class 7 watching YT,
00:00:13,00:00:18,00:00:05,5 Class 6 coding in VSC,
00:00:18,00:01:21,00:01:03,idle,
00:01:21,00:01:26,00:00:05,9 Class 10 other,
00:01:26,00:01:31,00:00:05,idle,
00:01:31,00:01:36,00:00:05,5 Class 6 coding in VSC,
00:01:36,00:02:06,00:00:30,idle,
00:02:06,00:02:09,00:00:03,6 Class 7 watching YT,
00:02:10,00:02:15,00:00:05,5 Class 6 coding in VSC,
00:02:15,00:04:13,00:01:58,idle,
00:04:14,00:04:19,00:00:05,5 Class 6 coding in VSC,
00:04:19,00:05:44,00:01:25,idle,
00:05:45,00:05:50,00:00:05,6 Class 7 watching YT,
00:05:50,00:05:56,00:00:06,idle,
00:05:56,00:06:01,00:00:05,9 Class 10 other,
00:06:01,00:06:06,00:00:05,idle,
00:06:06,00:06:09,00:00:03,6 Class 7 watching YT,
00:06:12,00:06:16,00:00:04,5 Class 6 coding in VSC,
00:06:16,00:06:19,00:00:03,9 Class 10 other,
00:06:20,00:06:22,00:00:02,5 Class 6 coding in VSC,
00:06:22,00:06:27,00:00:05,7 Class 8 using file explorer,
00:06:27,00:06:41,00:00:13,idle,
00:06:41,00:06:46,00:00:05,5 Class 6 coding in VSC,
00:06:46,00:14:19,00:07:32,idle,
00:14:19,00:14:24,00:00:05,2 Class 3 using github,
00:14:24,00:15:37,00:01:13,idle,
00:15:42,00:15:46,00:00:04,3 Class 4 cmd command,
00:15:47,00:15:49,00:00:02,2 Class 3 using github,
00:15:49,00:15:52,00:00:03,0 Class 1 browsing the web,
00:15:52,00:15:56,00:00:03,9 Class 10 other,
00:15:57,00:16:02,00:00:05,2 Class 3 using github,
00:16:02,00:16:55,00:00:53,idle,
00:16:55,00:17:00,00:00:05,0 Class 1 browsing the web,
00:17:00,00:17:17,00:00:17,idle,
00:17:19,00:17:21,00:00:02,0 Class 1 browsing the web,
00:17:25,00:17:29,00:00:04,0 Class 1 browsing the web,
