start_time,end_time,duration,class,frequency
00:00:00,00:00:03,00:00:03,9 Class 10 other,
00:00:03,00:00:06,00:00:03,6 Class 7 watching YT,
00:00:06,00:00:11,00:00:05,9 Class 10 other,
00:00:11,00:00:21,00:00:10,idle,
00:00:21,00:00:26,00:00:05,7 Class 8 using file explorer,
00:00:29,00:00:31,00:00:02,7 Class 8 using file explorer,
00:00:31,00:00:33,00:00:02,7 Class 8 using file explorer,
00:00:33,00:00:38,00:00:05,9 Class 10 other,
00:00:38,00:01:42,00:01:03,idle,
00:01:44,00:01:48,00:00:03,6 Class 7 watching YT,
00:01:48,00:01:52,00:00:04,9 Class 10 other,
00:01:52,00:01:57,00:00:05,5 Class 6 coding in VSC,
00:01:57,00:02:09,00:00:12,idle,
00:02:10,00:02:15,00:00:05,6 Class 7 watching YT,
00:02:15,00:02:17,00:00:02,0 Class 1 browsing the web,
00:02:17,00:02:22,00:00:05,5 Class 6 coding in VSC,
00:02:22,00:02:31,00:00:09,idle,
00:02:31,00:02:36,00:00:05,9 Class 10 other,
00:02:36,00:02:46,00:00:09,idle,
00:02:48,00:02:53,00:00:05,5 Class 6 coding in VSC,
00:02:53,00:02:56,00:00:03,idle,
00:02:57,00:03:02,00:00:05,5 Class 6 coding in VSC,
00:03:02,00:03:09,00:00:07,idle,
00:03:09,00:03:11,00:00:02,2 Class 3 using github,
00:03:13,00:03:18,00:00:05,2 Class 3 using github,
00:03:18,00:03:20,00:00:02,idle,
00:03:20,00:03:25,00:00:05,9 Class 10 other,
00:03:25,00:04:25,00:01:00,idle,
00:04:26,00:04:31,00:00:05,9 Class 10 other,
00:04:31,00:04:36,00:00:05,idle,
00:04:36,00:04:41,00:00:05,5 Class 6 coding in VSC,
00:04:41,00:04:47,00:00:05,idle,
00:04:47,00:04:52,00:00:04,6 Class 7 watching YT,
00:04:52,00:04:54,00:00:02,0 Class 1 browsing the web,
00:04:54,00:04:59,00:00:05,5 Class 6 coding in VSC,
00:04:59,00:05:31,00:00:31,idle,
00:05:32,00:05:37,00:00:05,5 Class 6 coding in VSC,
00:05:37,00:05:58,00:00:20,idle,
00:05:58,00:06:03,00:00:05,5 Class 6 coding in VSC,
00:06:03,00:06:16,00:00:12,idle,
00:06:16,00:06:21,00:00:05,5 Class 6 coding in VSC,
00:06:21,00:20:20,00:13:59,idle,
00:20:20,00:20:24,00:00:03,6 Class 7 watching YT,
00:20:24,00:20:29,00:00:05,0 Class 1 browsing the web,
00:20:29,00:24:20,00:03:51,idle,
00:24:20,00:24:25,00:00:05,0 Class 1 browsing the web,
00:24:25,00:24:50,00:00:25,idle,
00:24:51,00:24:56,00:00:05,0 Class 1 browsing the web,
00:24:56,00:54:21,00:29:25,idle,
00:54:21,00:54:26,00:00:05,11 Class 12 socials,
00:54:26,00:54:27,00:00:01,idle,
00:54:27,00:54:32,00:00:05,0 Class 1 browsing the web,
00:54:32,00:54:42,00:00:09,idle,
00:54:42,00:54:45,00:00:03,11 Class 12 socials,
00:54:45,00:54:50,00:00:05,3 Class 4 cmd command,
00:54:50,00:54:56,00:00:05,idle,
00:54:56,00:55:01,00:00:05,9 Class 10 other,
00:55:01,00:55:02,00:00:01,idle,
00:55:04,00:55:09,00:00:05,11 Class 12 socials,
00:55:09,00:55:14,00:00:05,9 Class 10 other,
00:55:14,00:55:28,00:00:13,idle,
00:55:28,00:55:33,00:00:05,0 Class 1 browsing the web,
00:55:33,00:55:35,00:00:02,idle,
00:55:36,00:55:41,00:00:05,4 Class 5 editing docs,
00:55:41,00:56:03,00:00:22,idle,
00:56:03,00:56:08,00:00:05,0 Class 1 browsing the web,
00:56:08,00:57:18,00:01:10,idle,
00:57:18,00:57:23,00:00:05,4 Class 5 editing docs,
00:57:23,00:57:53,00:00:30,idle,
00:57:53,00:57:58,00:00:05,0 Class 1 browsing the web,
00:57:58,00:57:59,00:00:01,idle,
00:57:59,00:58:04,00:00:05,2 Class 3 using github,
00:58:04,00:58:07,00:00:03,idle,
00:58:07,00:58:11,00:00:04,0 Class 1 browsing the web,
00:58:14,00:58:19,00:00:05,9 Class 10 other,
00:58:19,00:58:22,00:00:03,idle,
00:58:26,00:58:28,00:00:02,9 Class 10 other,
00:58:29,00:58:32,00:00:03,2 Class 3 using github,
00:58:35,00:58:37,00:00:02,9 Class 10 other,
00:58:37,00:58:41,00:00:03,2 Class 3 using github,
00:58:42,00:58:47,00:00:05,2 Class 3 using github,
00:58:47,00:58:53,00:00:06,idle,
00:58:54,00:58:57,00:00:03,2 Class 3 using github,
00:58:57,00:58:59,00:00:02,0 Class 1 browsing the web,
00:58:59,00:59:01,00:00:02,9 Class 10 other,
00:59:01,00:59:05,00:00:04,4 Class 5 editing docs,
00:59:05,00:59:08,00:00:03,9 Class 10 other,
00:59:08,00:59:10,00:00:02,0 Class 1 browsing the web,
00:59:11,00:59:15,00:00:04,9 Class 10 other,
00:59:15,00:59:21,00:00:05,0 Class 1 browsing the web,
00:59:22,00:59:27,00:00:05,0 Class 1 browsing the web,
00:59:27,00:59:41,00:00:14,idle,
00:59:44,00:59:49,00:00:05,0 Class 1 browsing the web,
00:59:49,00:59:51,00:00:02,idle,
00:59:55,00:59:58,00:00:03,0 Class 1 browsing the web,
01:00:00,01:00:03,00:00:03,0 Class 1 browsing the web,
01:00:03,01:00:06,00:00:02,2 Class 3 using github,
01:00:07,01:00:11,00:00:04,11 Class 12 socials,
01:00:12,01:00:17,00:00:05,9 Class 10 other,
01:00:17,01:02:07,00:01:49,idle,
01:02:07,01:02:09,00:00:02,11 Class 12 socials,
01:02:11,01:02:13,00:00:02,0 Class 1 browsing the web,
01:02:14,01:02:20,00:00:05,0 Class 1 browsing the web,
01:02:22,01:02:27,00:00:05,10 Class 11 code reference,
01:02:27,01:02:28,00:00:01,idle,
01:02:28,01:02:33,00:00:04,0 Class 1 browsing the web,
01:02:36,01:02:40,00:00:03,0 Class 1 browsing the web,
01:02:41,01:02:44,00:00:02,0 Class 1 browsing the web,
01:02:44,01:02:48,00:00:04,10 Class 11 code reference,
01:02:48,01:02:53,00:00:05,0 Class 1 browsing the web,
01:02:53,01:03:14,00:00:21,idle,
01:03:16,01:03:21,00:00:05,0 Class 1 browsing the web,
01:03:21,01:03:26,00:00:05,idle,
01:03:26,01:03:31,00:00:05,10 Class 11 code reference,
01:03:32,01:03:37,00:00:05,10 Class 11 code reference,
01:03:37,01:03:51,00:00:14,idle,
01:03:52,01:03:57,00:00:05,10 Class 11 code reference,
01:03:57,01:04:27,00:00:30,idle,
01:04:27,01:04:29,00:00:02,0 Class 1 browsing the web,
01:04:29,01:04:34,00:00:05,9 Class 10 other,
01:04:34,01:05:08,00:00:34,idle,
01:05:08,01:05:13,00:00:05,0 Class 1 browsing the web,
01:05:13,01:06:47,00:01:33,idle,
01:06:48,01:06:53,00:00:05,0 Class 1 browsing the web,
01:06:53,01:07:25,00:00:32,idle,
01:07:25,01:07:28,00:00:03,10 Class 11 code reference,
01:07:30,01:07:35,00:00:05,10 Class 11 code reference,
01:07:35,01:07:41,00:00:05,0 Class 1 browsing the web,
01:07:41,01:07:44,00:00:03,3 Class 4 cmd command,
01:07:46,01:07:48,00:00:02,2 Class 3 using github,
01:07:48,01:07:52,00:00:04,8 Class 9 preview output,
01:07:53,01:07:58,00:00:05,10 Class 11 code reference,
01:07:58,01:08:03,00:00:05,idle,
01:08:03,01:08:08,00:00:05,2 Class 3 using github,
01:08:08,01:08:09,00:00:01,idle,
01:08:09,01:08:14,00:00:05,10 Class 11 code reference,
01:08:14,01:08:35,00:00:20,idle,
01:08:39,01:08:41,00:00:02,7 Class 8 using file explorer,
01:08:44,01:08:49,00:00:05,0 Class 1 browsing the web,
01:08:49,01:09:40,00:00:50,idle,
01:09:40,01:09:45,00:00:05,9 Class 10 other,
01:09:45,01:09:49,00:00:04,idle,
01:09:49,01:09:52,00:00:02,0 Class 1 browsing the web,
01:09:55,01:10:00,00:00:05,9 Class 10 other,
01:10:00,01:11:52,00:01:52,idle,
01:11:54,01:11:59,00:00:05,0 Class 1 browsing the web,
01:12:00,01:12:05,00:00:05,0 Class 1 browsing the web,
01:12:05,01:12:43,00:00:38,idle,
01:12:43,01:12:48,00:00:05,9 Class 10 other,
01:12:48,01:14:40,00:01:52,idle,
01:14:40,01:14:45,00:00:04,0 Class 1 browsing the web,
01:14:46,01:14:51,00:00:05,0 Class 1 browsing the web,
01:14:51,01:16:40,00:01:49,idle,
01:16:40,01:16:43,00:00:02,2 Class 3 using github,
01:16:43,01:16:48,00:00:05,0 Class 1 browsing the web,
01:16:48,01:17:22,00:00:34,idle,
01:17:23,01:17:26,00:00:02,8 Class 9 preview output,
01:17:27,01:17:32,00:00:05,0 Class 1 browsing the web,
01:17:32,01:17:35,00:00:03,idle,
01:17:37,01:17:42,00:00:05,0 Class 1 browsing the web,
01:17:42,01:17:47,00:00:05,idle,
01:17:47,01:17:52,00:00:05,0 Class 1 browsing the web,
01:17:52,01:18:00,00:00:07,idle,
01:18:00,01:18:03,00:00:03,4 Class 5 editing docs,
01:18:03,01:18:08,00:00:05,0 Class 1 browsing the web,
01:18:08,01:25:10,00:07:01,idle,
01:25:11,01:25:13,00:00:02,0 Class 1 browsing the web,
01:25:13,01:25:16,00:00:03,11 Class 12 socials,
01:25:16,01:25:19,00:00:03,0 Class 1 browsing the web,
01:25:19,01:25:24,00:00:05,9 Class 10 other,
01:25:24,01:25:27,00:00:02,idle,
01:25:27,01:25:29,00:00:02,9 Class 10 other,
01:25:30,01:25:35,00:00:05,9 Class 10 other,
01:25:35,01:25:37,00:00:02,idle,
01:25:37,01:25:40,00:00:03,0 Class 1 browsing the web,
01:25:40,01:25:42,00:00:02,5 Class 6 coding in VSC,
01:25:42,01:25:47,00:00:05,0 Class 1 browsing the web,
01:25:47,01:26:39,00:00:51,idle,
01:26:39,01:26:41,00:00:02,0 Class 1 browsing the web,
01:26:47,01:26:51,00:00:04,2 Class 3 using github,
01:26:51,01:26:56,00:00:05,0 Class 1 browsing the web,
01:26:56,01:27:08,00:00:12,idle,
01:27:08,01:27:10,00:00:02,2 Class 3 using github,
01:27:10,01:27:15,00:00:05,9 Class 10 other,
01:27:15,01:27:27,00:00:12,idle,
01:27:27,01:27:32,00:00:05,4 Class 5 editing docs,
01:27:32,01:27:36,00:00:04,idle,
01:27:36,01:27:41,00:00:05,0 Class 1 browsing the web,
01:27:41,01:27:43,00:00:02,idle,
01:27:43,01:27:48,00:00:05,4 Class 5 editing docs,
01:27:48,01:28:18,00:00:30,idle,
01:28:18,01:28:23,00:00:05,0 Class 1 browsing the web,
01:28:23,01:28:52,00:00:29,idle,
01:28:54,01:28:59,00:00:05,4 Class 5 editing docs,
01:28:59,01:29:34,00:00:35,idle,
01:29:34,01:29:37,00:00:03,11 Class 12 socials,
01:29:38,01:29:43,00:00:05,10 Class 11 code reference,
01:29:43,01:29:46,00:00:03,9 Class 10 other,
01:29:46,01:29:51,00:00:05,0 Class 1 browsing the web,
01:29:51,01:30:08,00:00:16,idle,
01:30:10,01:30:12,00:00:02,11 Class 12 socials,
01:30:12,01:30:14,00:00:02,10 Class 11 code reference,
01:30:14,01:30:19,00:00:05,0 Class 1 browsing the web,
01:30:19,01:30:29,00:00:10,idle,
01:30:29,01:30:34,00:00:05,0 Class 1 browsing the web,
01:30:34,01:30:48,00:00:14,idle,
01:30:49,01:30:54,00:00:05,0 Class 1 browsing the web,
01:30:54,01:32:53,00:01:58,idle,
01:32:53,01:32:56,00:00:03,11 Class 12 socials,
01:32:56,01:33:00,00:00:04,10 Class 11 code reference,
01:33:00,01:33:05,00:00:05,0 Class 1 browsing the web,
01:33:05,01:34:16,00:01:10,idle,
01:34:16,01:34:19,00:00:03,11 Class 12 socials,
01:34:19,01:34:24,00:00:05,9 Class 10 other,
01:34:24,01:34:26,00:00:01,idle,
01:34:26,01:34:31,00:00:05,10 Class 11 code reference,
01:34:31,01:34:42,00:00:11,idle,
01:34:42,01:34:47,00:00:04,9 Class 10 other,
01:34:47,01:34:52,00:00:05,4 Class 5 editing docs,
01:34:52,02:24:38,00:49:46,idle,
02:24:41,02:24:43,00:00:02,0 Class 1 browsing the web,
02:24:43,02:24:48,00:00:05,4 Class 5 editing docs,
02:24:48,02:40:15,00:15:26,idle,
02:40:15,02:40:19,00:00:04,0 Class 1 browsing the web,
02:40:20,02:40:23,00:00:03,9 Class 10 other,
02:40:24,02:40:29,00:00:05,4 Class 5 editing docs,
02:40:29,02:40:50,00:00:21,idle,
02:40:51,02:40:53,00:00:02,4 Class 5 editing docs,
02:40:53,02:40:58,00:00:04,0 Class 1 browsing the web,
02:40:59,02:41:04,00:00:05,4 Class 5 editing docs,
02:41:04,02:42:40,00:01:36,idle,
02:42:43,02:42:46,00:00:03,0 Class 1 browsing the web,
02:42:46,02:42:51,00:00:05,9 Class 10 other,
02:42:51,02:43:09,00:00:17,idle,
02:43:09,02:43:14,00:00:05,0 Class 1 browsing the web,
02:43:14,02:43:52,00:00:38,idle,
02:43:52,02:43:54,00:00:02,9 Class 10 other,
02:43:54,02:43:59,00:00:05,4 Class 5 editing docs,
02:43:59,02:53:17,00:09:18,idle,
02:53:19,02:53:24,00:00:05,9 Class 10 other,
02:53:24,02:53:29,00:00:05,idle,
02:53:31,02:53:36,00:00:05,3 Class 4 cmd command,
02:53:36,03:14:45,00:21:09,idle,
03:14:45,03:14:50,00:00:05,4 Class 5 editing docs,
03:14:50,03:15:35,00:00:45,idle,
03:15:37,03:15:42,00:00:05,4 Class 5 editing docs,
03:15:42,03:16:08,00:00:26,idle,
03:16:09,03:16:14,00:00:05,9 Class 10 other,
03:16:14,03:16:16,00:00:01,idle,
03:16:17,03:16:19,00:00:02,10 Class 11 code reference,
03:16:19,03:16:24,00:00:05,0 Class 1 browsing the web,
03:16:24,03:16:29,00:00:05,4 Class 5 editing docs,
03:16:29,03:16:39,00:00:10,idle,
03:16:41,03:16:46,00:00:05,9 Class 10 other,
03:16:46,03:17:05,00:00:19,idle,
03:17:07,03:17:12,00:00:05,5 Class 6 coding in VSC,
03:17:12,03:17:28,00:00:16,idle,
03:17:28,03:17:33,00:00:05,11 Class 12 socials,
03:17:33,03:17:36,00:00:03,idle,
03:17:36,03:17:39,00:00:03,9 Class 10 other,
03:17:43,03:17:48,00:00:05,0 Class 1 browsing the web,
03:17:48,03:17:49,00:00:01,idle,
03:17:49,03:17:54,00:00:05,5 Class 6 coding in VSC,
03:17:56,03:18:01,00:00:05,4 Class 5 editing docs,
03:18:01,03:29:00,00:10:58,idle,
03:29:02,03:29:07,00:00:05,11 Class 12 socials,
03:29:07,03:29:09,00:00:02,idle,
03:29:13,03:29:17,00:00:04,11 Class 12 socials,
03:29:18,03:29:20,00:00:02,11 Class 12 socials,
03:29:20,03:29:25,00:00:05,4 Class 5 editing docs,
03:29:25,03:29:42,00:00:17,idle,
03:29:43,03:29:48,00:00:05,4 Class 5 editing docs,
03:29:48,03:34:26,00:04:38,idle,
03:34:26,03:34:31,00:00:05,4 Class 5 editing docs,
03:34:31,03:40:40,00:06:08,idle,
03:40:40,03:40:43,00:00:03,11 Class 12 socials,
03:40:43,03:40:46,00:00:03,9 Class 10 other,
03:40:48,03:40:51,00:00:03,11 Class 12 socials,
03:40:51,03:40:55,00:00:04,9 Class 10 other,
03:40:55,03:41:00,00:00:05,4 Class 5 editing docs,
03:41:00,03:41:58,00:00:57,idle,
03:42:00,03:42:05,00:00:05,9 Class 10 other,
03:42:05,03:42:06,00:00:01,idle,
03:42:09,03:42:14,00:00:05,10 Class 11 code reference,
03:42:14,03:44:07,00:01:53,idle,
03:44:08,03:44:13,00:00:05,9 Class 10 other,
03:44:13,03:44:50,00:00:37,idle,
03:44:57,03:45:02,00:00:05,9 Class 10 other,
03:45:02,03:45:11,00:00:09,idle,
03:45:11,03:45:13,00:00:02,9 Class 10 other,
03:45:13,03:45:15,00:00:02,0 Class 1 browsing the web,
03:45:16,03:45:19,00:00:03,9 Class 10 other,
03:45:21,03:45:26,00:00:05,4 Class 5 editing docs,
03:45:26,03:45:53,00:00:27,idle,
03:45:53,03:45:58,00:00:05,11 Class 12 socials,
03:45:58,03:46:08,00:00:10,idle,
03:46:08,03:46:13,00:00:05,9 Class 10 other,
03:46:13,03:46:27,00:00:14,idle,
03:46:28,03:46:33,00:00:05,9 Class 10 other,
03:46:33,03:46:35,00:00:02,idle,
03:46:35,03:46:40,00:00:05,11 Class 12 socials,
03:46:40,03:46:41,00:00:01,idle,
03:46:43,03:46:48,00:00:05,4 Class 5 editing docs,
03:46:48,03:48:46,00:01:57,idle,
03:48:46,03:48:50,00:00:03,9 Class 10 other,
03:48:51,03:48:56,00:00:05,4 Class 5 editing docs,
03:48:56,03:50:43,00:01:47,idle,
03:50:47,03:50:52,00:00:05,4 Class 5 editing docs,
03:50:52,03:51:29,00:00:37,idle,
03:51:29,03:51:34,00:00:05,9 Class 10 other,
03:51:34,03:51:53,00:00:18,idle,
03:51:53,03:51:58,00:00:05,9 Class 10 other,
03:51:58,03:52:03,00:00:04,6 Class 7 watching YT,
03:52:04,03:52:09,00:00:05,4 Class 5 editing docs,
03:52:09,04:07:31,00:15:22,idle,
04:07:31,04:07:34,00:00:02,0 Class 1 browsing the web,
04:07:34,04:07:39,00:00:05,9 Class 10 other,
04:07:39,04:07:50,00:00:11,idle,
04:07:50,04:07:55,00:00:05,11 Class 12 socials,
04:07:55,04:07:57,00:00:01,idle,
04:07:59,04:08:04,00:00:05,9 Class 10 other,
04:08:04,04:08:16,00:00:12,idle,
04:08:16,04:08:21,00:00:05,4 Class 5 editing docs,
04:08:21,04:12:26,00:04:05,idle,
04:12:28,04:12:33,00:00:05,4 Class 5 editing docs,
04:12:36,04:12:41,00:00:05,9 Class 10 other,
04:12:42,04:12:47,00:00:05,9 Class 10 other,
04:12:47,04:12:50,00:00:03,idle,
04:12:50,04:12:55,00:00:05,9 Class 10 other,
04:12:55,04:13:00,00:00:04,idle,
04:13:00,04:13:04,00:00:04,4 Class 5 editing docs,
04:13:04,04:13:09,00:00:05,0 Class 1 browsing the web,
04:13:09,04:13:13,00:00:04,idle,
04:13:13,04:13:16,00:00:02,4 Class 5 editing docs,
04:13:17,04:13:22,00:00:05,4 Class 5 editing docs,
04:13:22,04:19:04,00:05:42,idle,
04:19:04,04:19:09,00:00:05,4 Class 5 editing docs,
04:19:09,04:20:07,00:00:58,idle,
