start_time,end_time,duration,class,frequency
00:00:01,00:00:03,00:00:02,0 Class 1 browsing the web,
00:00:03,00:00:08,00:00:05,5 Class 6 coding in VSC,
00:00:08,00:00:26,00:00:18,idle,
00:00:26,00:00:31,00:00:05,6 Class 7 watching YT,
00:00:32,00:00:37,00:00:05,5 Class 6 coding in VSC,
00:00:37,00:03:55,00:03:18,idle,
00:03:57,00:04:02,00:00:05,5 Class 6 coding in VSC,
00:04:02,00:04:27,00:00:25,idle,
00:04:27,00:04:32,00:00:05,5 Class 6 coding in VSC,
00:04:32,00:04:34,00:00:02,idle,
00:04:39,00:04:43,00:00:04,6 Class 7 watching YT,
00:04:43,00:04:45,00:00:02,6 Class 7 watching YT,
00:04:47,00:04:51,00:00:04,5 Class 6 coding in VSC,
00:04:55,00:04:57,00:00:02,5 Class 6 coding in VSC,
00:04:58,00:05:03,00:00:05,5 Class 6 coding in VSC,
00:05:03,00:06:51,00:01:48,idle,
00:06:51,00:06:56,00:00:05,6 Class 7 watching YT,
00:06:56,00:07:05,00:00:09,idle,
00:07:05,00:07:10,00:00:05,0 Class 1 browsing the web,
00:07:10,00:18:27,00:11:17,idle,
00:18:28,00:18:30,00:00:02,6 Class 7 watching YT,
00:18:33,00:18:37,00:00:04,0 Class 1 browsing the web,
00:18:37,00:18:41,00:00:04,6 Class 7 watching YT,
00:18:41,00:18:46,00:00:05,0 Class 1 browsing the web,
00:18:46,00:22:49,00:04:03,idle,
00:22:52,00:22:57,00:00:05,0 Class 1 browsing the web,
00:22:57,00:22:59,00:00:02,idle,
00:23:00,00:23:02,00:00:02,0 Class 1 browsing the web,
00:23:02,00:23:07,00:00:05,10 Class 11 code reference,
00:23:07,00:23:11,00:00:03,idle,
00:23:11,00:23:16,00:00:05,0 Class 1 browsing the web,
00:23:16,00:25:02,00:01:46,idle,
00:25:02,00:25:07,00:00:05,10 Class 11 code reference,
00:25:07,00:26:59,00:01:51,idle,
00:27:04,00:27:09,00:00:05,0 Class 1 browsing the web,
00:27:09,00:27:22,00:00:12,idle,
00:27:25,00:27:30,00:00:05,2 Class 3 using github,
00:27:30,00:29:30,00:02:00,idle,
00:29:30,00:29:32,00:00:02,0 Class 1 browsing the web,
00:29:32,00:29:35,00:00:02,5 Class 6 coding in VSC,
00:29:35,00:29:40,00:00:05,0 Class 1 browsing the web,
00:29:40,00:30:02,00:00:22,idle,
00:30:04,00:30:09,00:00:04,2 Class 3 using github,
00:30:10,00:30:15,00:00:05,2 Class 3 using github,
00:30:15,00:30:43,00:00:28,idle,
00:30:43,00:30:45,00:00:02,2 Class 3 using github,
00:30:46,00:30:50,00:00:04,2 Class 3 using github,
00:30:51,00:30:53,00:00:02,2 Class 3 using github,
00:30:54,00:30:56,00:00:02,5 Class 6 coding in VSC,
00:30:56,00:30:59,00:00:03,2 Class 3 using github,
00:31:04,00:31:07,00:00:02,10 Class 11 code reference,
00:31:12,00:31:16,00:00:04,2 Class 3 using github,
00:31:16,00:31:21,00:00:05,0 Class 1 browsing the web,
00:31:21,00:31:49,00:00:27,idle,
00:31:49,00:31:53,00:00:03,2 Class 3 using github,
00:31:53,00:31:58,00:00:05,10 Class 11 code reference,
00:31:58,00:32:00,00:00:02,idle,
00:32:01,00:32:06,00:00:05,10 Class 11 code reference,
00:32:06,00:32:08,00:00:02,idle,
00:32:08,00:32:13,00:00:05,2 Class 3 using github,
00:32:13,00:32:18,00:00:04,idle,
00:32:18,00:32:22,00:00:04,10 Class 11 code reference,
00:32:23,00:32:25,00:00:02,10 Class 11 code reference,
00:32:25,00:32:30,00:00:05,2 Class 3 using github,
00:32:30,00:32:58,00:00:27,idle,
00:32:59,00:33:04,00:00:05,2 Class 3 using github,
00:33:04,00:33:26,00:00:22,idle,
00:33:26,00:33:31,00:00:05,0 Class 1 browsing the web,
00:33:31,00:33:34,00:00:02,idle,
