start_time,end_time,duration,class,frequency
00:00:00,00:00:03,00:00:03,9 Class 10 other,
00:00:03,00:00:06,00:00:03,6 Class 7 watching YT,
00:00:06,00:00:11,00:00:05,5 Class 6 coding in VSC,
00:00:11,00:02:23,00:02:12,idle,
00:02:23,00:02:27,00:00:03,9 Class 10 other,
00:02:27,00:02:32,00:00:05,5 Class 6 coding in VSC,
00:02:32,00:42:58,00:40:26,idle,
00:42:58,00:43:00,00:00:02,0 Class 1 browsing the web,
00:43:00,00:43:05,00:00:05,5 Class 6 coding in VSC,
00:43:05,00:44:31,00:01:26,idle,
00:44:34,00:44:39,00:00:05,5 Class 6 coding in VSC,
00:44:39,00:44:40,00:00:01,idle,
00:44:43,00:44:45,00:00:02,5 Class 6 coding in VSC,
00:44:45,00:44:50,00:00:05,0 Class 1 browsing the web,
00:44:51,00:44:53,00:00:02,11 Class 12 socials,
00:44:53,00:44:58,00:00:05,0 Class 1 browsing the web,
00:44:58,00:45:00,00:00:01,idle,
00:45:00,00:45:05,00:00:05,11 Class 12 socials,
00:45:05,00:45:15,00:00:10,idle,
00:45:15,00:45:20,00:00:05,5 Class 6 coding in VSC,
00:45:20,00:57:05,00:11:44,idle,
00:57:05,00:57:10,00:00:05,11 Class 12 socials,
00:57:10,00:57:39,00:00:29,idle,
00:57:42,00:57:44,00:00:02,11 Class 12 socials,
00:57:45,00:57:47,00:00:02,0 Class 1 browsing the web,
00:57:47,00:57:50,00:00:03,0 Class 1 browsing the web,
00:57:50,00:57:52,00:00:02,4 Class 5 editing docs,
00:57:52,00:57:57,00:00:05,0 Class 1 browsing the web,
00:57:57,00:58:01,00:00:04,idle,
00:58:01,00:58:06,00:00:05,4 Class 5 editing docs,
00:58:06,00:58:10,00:00:03,idle,
00:58:10,00:58:12,00:00:02,0 Class 1 browsing the web,
00:58:12,00:58:17,00:00:05,4 Class 5 editing docs,
00:58:17,00:58:20,00:00:02,idle,
00:58:21,00:58:26,00:00:05,4 Class 5 editing docs,
00:58:26,00:58:28,00:00:02,idle,
00:58:29,00:58:34,00:00:05,4 Class 5 editing docs,
00:58:34,00:58:37,00:00:03,idle,
00:58:37,00:58:42,00:00:05,4 Class 5 editing docs,
00:58:42,00:58:45,00:00:02,idle,
00:58:46,00:58:51,00:00:05,4 Class 5 editing docs,
00:58:51,00:58:53,00:00:02,idle,
00:58:54,00:58:59,00:00:05,4 Class 5 editing docs,
00:58:59,00:59:02,00:00:03,idle,
00:59:02,00:59:07,00:00:05,4 Class 5 editing docs,
00:59:07,00:59:10,00:00:02,idle,
00:59:10,00:59:15,00:00:05,4 Class 5 editing docs,
00:59:15,00:59:18,00:00:03,idle,
00:59:20,00:59:25,00:00:05,4 Class 5 editing docs,
00:59:25,00:59:27,00:00:01,idle,
00:59:27,00:59:32,00:00:05,4 Class 5 editing docs,
00:59:32,00:59:35,00:00:02,idle,
00:59:35,00:59:40,00:00:05,4 Class 5 editing docs,
00:59:40,00:59:43,00:00:03,idle,
00:59:44,00:59:49,00:00:05,4 Class 5 editing docs,
00:59:49,00:59:52,00:00:03,idle,
00:59:52,00:59:57,00:00:05,4 Class 5 editing docs,
00:59:57,01:00:00,00:00:02,idle,
01:00:00,01:00:05,00:00:05,0 Class 1 browsing the web,
01:00:05,01:00:09,00:00:04,idle,
01:00:09,01:00:12,00:00:03,4 Class 5 editing docs,
01:00:12,01:00:17,00:00:05,0 Class 1 browsing the web,
01:00:17,01:00:27,00:00:10,idle,
01:00:27,01:00:30,00:00:03,5 Class 6 coding in VSC,
01:00:33,01:00:35,00:00:02,5 Class 6 coding in VSC,
01:00:35,01:00:40,00:00:05,5 Class 6 coding in VSC,
01:00:40,01:00:41,00:00:01,idle,
01:00:41,01:00:46,00:00:05,0 Class 1 browsing the web,
01:00:46,01:00:51,00:00:05,9 Class 10 other,
01:00:51,01:00:57,00:00:06,idle,
01:00:59,01:01:02,00:00:03,0 Class 1 browsing the web,
01:01:02,01:01:07,00:00:05,10 Class 11 code reference,
01:01:07,01:01:35,00:00:27,idle,
01:01:35,01:01:40,00:00:05,0 Class 1 browsing the web,
01:01:40,01:01:56,00:00:16,idle,
01:02:05,01:02:10,00:00:05,4 Class 5 editing docs,
01:02:10,01:02:35,00:00:25,idle,
01:02:35,01:02:40,00:00:05,0 Class 1 browsing the web,
01:02:40,01:02:41,00:00:01,idle,
01:02:42,01:02:47,00:00:04,5 Class 6 coding in VSC,
01:02:47,01:02:52,00:00:05,0 Class 1 browsing the web,
01:02:52,01:02:54,00:00:02,idle,
01:02:55,01:02:57,00:00:02,0 Class 1 browsing the web,
01:02:58,01:03:03,00:00:05,0 Class 1 browsing the web,
01:03:03,01:04:25,00:01:22,idle,
01:04:27,01:04:30,00:00:03,9 Class 10 other,
01:04:34,01:04:39,00:00:05,0 Class 1 browsing the web,
01:04:39,01:04:43,00:00:04,idle,
01:04:44,01:04:47,00:00:03,0 Class 1 browsing the web,
01:04:48,01:04:53,00:00:05,0 Class 1 browsing the web,
01:04:53,01:04:56,00:00:03,9 Class 10 other,
01:04:58,01:05:03,00:00:05,0 Class 1 browsing the web,
01:05:03,01:05:18,00:00:15,idle,
01:05:19,01:05:22,00:00:03,9 Class 10 other,
01:05:23,01:05:25,00:00:02,9 Class 10 other,
01:05:25,01:05:27,00:00:02,6 Class 7 watching YT,
01:05:29,01:05:31,00:00:02,0 Class 1 browsing the web,
01:05:36,01:05:40,00:00:04,9 Class 10 other,
01:05:43,01:05:45,00:00:02,9 Class 10 other,
01:05:45,01:05:47,00:00:02,0 Class 1 browsing the web,
01:05:47,01:05:49,00:00:02,2 Class 3 using github,
01:05:49,01:05:53,00:00:04,9 Class 10 other,
01:05:54,01:05:56,00:00:02,9 Class 10 other,
01:05:59,01:06:01,00:00:02,5 Class 6 coding in VSC,
01:06:03,01:06:08,00:00:05,0 Class 1 browsing the web,
01:06:08,01:06:12,00:00:04,idle,
01:06:13,01:06:18,00:00:05,0 Class 1 browsing the web,
01:06:18,01:06:22,00:00:04,4 Class 5 editing docs,
01:06:22,01:06:27,00:00:05,0 Class 1 browsing the web,
01:06:27,01:06:32,00:00:04,0 Class 1 browsing the web,
01:06:32,01:06:37,00:00:05,4 Class 5 editing docs,
01:06:37,01:06:39,00:00:02,idle,
01:06:41,01:06:44,00:00:02,9 Class 10 other,
01:06:46,01:06:49,00:00:03,5 Class 6 coding in VSC,
01:06:49,01:06:53,00:00:04,5 Class 6 coding in VSC,
01:06:54,01:06:56,00:00:02,5 Class 6 coding in VSC,
01:06:57,01:07:00,00:00:03,5 Class 6 coding in VSC,
01:07:00,01:07:05,00:00:05,5 Class 6 coding in VSC,
01:07:05,01:07:12,00:00:07,idle,
01:07:16,01:07:19,00:00:02,5 Class 6 coding in VSC,
01:07:19,01:07:24,00:00:05,9 Class 10 other,
01:07:24,01:07:32,00:00:08,idle,
01:07:32,01:07:34,00:00:02,5 Class 6 coding in VSC,
01:07:34,01:07:39,00:00:05,6 Class 7 watching YT,
01:07:39,01:09:56,00:02:16,idle,
01:09:56,01:09:59,00:00:02,6 Class 7 watching YT,
01:09:59,01:10:03,00:00:04,9 Class 10 other,
01:10:03,01:10:06,00:00:03,6 Class 7 watching YT,
01:10:07,01:10:09,00:00:02,9 Class 10 other,
01:10:09,01:10:12,00:00:02,7 Class 8 using file explorer,
01:10:12,01:10:14,00:00:02,7 Class 8 using file explorer,
01:10:16,01:10:18,00:00:02,7 Class 8 using file explorer,
01:10:18,01:10:22,00:00:04,5 Class 6 coding in VSC,
01:10:22,01:10:27,00:00:05,3 Class 4 cmd command,
01:10:27,01:10:41,00:00:14,idle,
01:10:41,01:10:46,00:00:05,0 Class 1 browsing the web,
01:10:46,01:11:15,00:00:28,idle,
01:11:15,01:11:17,00:00:02,0 Class 1 browsing the web,
01:11:18,01:11:23,00:00:05,0 Class 1 browsing the web,
01:11:23,01:11:56,00:00:33,idle,
01:11:56,01:11:59,00:00:03,5 Class 6 coding in VSC,
01:11:59,01:12:04,00:00:05,7 Class 8 using file explorer,
01:12:04,01:12:26,00:00:22,idle,
01:12:28,01:12:30,00:00:02,9 Class 10 other,
01:12:41,01:12:43,00:00:02,2 Class 3 using github,
01:12:43,01:12:46,00:00:03,0 Class 1 browsing the web,
01:12:47,01:12:51,00:00:04,2 Class 3 using github,
01:12:51,01:12:56,00:00:05,0 Class 1 browsing the web,
01:12:56,01:12:59,00:00:03,idle,
01:12:59,01:13:04,00:00:05,2 Class 3 using github,
01:13:04,01:13:16,00:00:12,idle,
01:13:16,01:13:21,00:00:05,5 Class 6 coding in VSC,
01:13:21,01:13:24,00:00:02,idle,
01:13:28,01:13:33,00:00:05,5 Class 6 coding in VSC,
01:13:33,01:13:41,00:00:08,idle,
01:13:44,01:13:46,00:00:02,0 Class 1 browsing the web,
01:13:50,01:13:55,00:00:05,0 Class 1 browsing the web,
01:13:55,01:14:02,00:00:07,idle,
01:14:05,01:14:10,00:00:05,5 Class 6 coding in VSC,
01:14:10,01:14:16,00:00:06,idle,
01:14:20,01:14:23,00:00:02,0 Class 1 browsing the web,
01:14:24,01:14:27,00:00:02,0 Class 1 browsing the web,
01:14:28,01:14:32,00:00:04,0 Class 1 browsing the web,
01:14:34,01:14:36,00:00:02,5 Class 6 coding in VSC,
01:14:36,01:14:41,00:00:04,0 Class 1 browsing the web,
01:14:41,01:14:43,00:00:02,6 Class 7 watching YT,
01:14:50,01:14:55,00:00:05,0 Class 1 browsing the web,
01:14:55,01:14:56,00:00:01,idle,
01:14:56,01:15:01,00:00:05,2 Class 3 using github,
01:15:01,01:15:44,00:00:43,idle,
01:15:46,01:15:51,00:00:05,2 Class 3 using github,
01:15:51,01:16:51,00:01:00,idle,
01:16:52,01:16:57,00:00:05,2 Class 3 using github,
01:16:57,01:17:52,00:00:54,idle,
01:17:52,01:17:54,00:00:02,2 Class 3 using github,
01:17:54,01:17:59,00:00:05,5 Class 6 coding in VSC,
01:17:59,01:18:02,00:00:02,idle,
01:18:02,01:18:07,00:00:05,2 Class 3 using github,
01:18:07,01:18:08,00:00:01,idle,
01:18:08,01:18:13,00:00:05,5 Class 6 coding in VSC,
01:18:13,01:18:17,00:00:04,idle,
01:18:18,01:18:20,00:00:02,2 Class 3 using github,
01:18:22,01:18:24,00:00:02,2 Class 3 using github,
01:18:25,01:18:30,00:00:05,2 Class 3 using github,
01:18:30,01:18:45,00:00:15,idle,
01:18:45,01:18:50,00:00:05,0 Class 1 browsing the web,
01:18:50,01:18:55,00:00:05,idle,
01:18:55,01:19:00,00:00:05,2 Class 3 using github,
01:19:00,01:19:19,00:00:19,idle,
01:19:19,01:19:24,00:00:05,5 Class 6 coding in VSC,
01:19:24,01:19:29,00:00:05,2 Class 3 using github,
01:19:29,01:19:31,00:00:01,idle,
01:19:31,01:19:36,00:00:05,5 Class 6 coding in VSC,
01:19:39,01:19:41,00:00:02,2 Class 3 using github,
01:19:42,01:19:48,00:00:05,5 Class 6 coding in VSC,
01:19:48,01:19:53,00:00:05,2 Class 3 using github,
01:19:53,01:19:56,00:00:03,idle,
01:19:56,01:20:01,00:00:05,5 Class 6 coding in VSC,
01:20:01,01:20:18,00:00:17,idle,
01:20:18,01:20:23,00:00:05,2 Class 3 using github,
01:20:23,01:20:31,00:00:08,idle,
01:20:32,01:20:35,00:00:03,2 Class 3 using github,
01:20:38,01:20:43,00:00:05,2 Class 3 using github,
01:20:43,01:20:51,00:00:07,idle,
01:20:51,01:20:53,00:00:02,5 Class 6 coding in VSC,
01:20:57,01:21:01,00:00:04,0 Class 1 browsing the web,
01:21:04,01:21:09,00:00:05,5 Class 6 coding in VSC,
01:21:09,01:21:18,00:00:09,idle,
01:21:24,01:21:27,00:00:03,0 Class 1 browsing the web,
01:21:27,01:21:32,00:00:05,5 Class 6 coding in VSC,
01:21:32,01:21:37,00:00:05,idle,
01:21:39,01:21:44,00:00:05,5 Class 6 coding in VSC,
01:21:44,01:22:08,00:00:24,idle,
01:22:09,01:22:11,00:00:02,5 Class 6 coding in VSC,
01:22:11,01:22:14,00:00:02,0 Class 1 browsing the web,
01:22:17,01:22:22,00:00:05,5 Class 6 coding in VSC,
01:22:22,01:22:24,00:00:02,idle,
01:22:26,01:22:31,00:00:05,5 Class 6 coding in VSC,
01:22:31,01:22:56,00:00:25,idle,
01:22:57,01:23:00,00:00:02,0 Class 1 browsing the web,
01:23:00,01:23:05,00:00:05,0 Class 1 browsing the web,
01:23:05,01:23:31,00:00:26,idle,
01:23:31,01:23:33,00:00:02,5 Class 6 coding in VSC,
01:23:35,01:23:40,00:00:05,5 Class 6 coding in VSC,
01:23:40,01:23:43,00:00:03,idle,
01:23:44,01:23:49,00:00:05,0 Class 1 browsing the web,
01:23:49,01:23:51,00:00:01,idle,
01:23:51,01:23:56,00:00:05,5 Class 6 coding in VSC,
01:23:56,01:24:04,00:00:08,idle,
01:24:04,01:24:07,00:00:02,0 Class 1 browsing the web,
01:24:07,01:24:12,00:00:05,0 Class 1 browsing the web,
01:24:12,01:27:04,00:02:52,idle,
01:27:05,01:27:08,00:00:03,5 Class 6 coding in VSC,
01:27:09,01:27:11,00:00:02,5 Class 6 coding in VSC,
01:27:12,01:27:15,00:00:03,9 Class 10 other,
01:27:15,01:27:20,00:00:05,0 Class 1 browsing the web,
01:27:21,01:27:26,00:00:05,9 Class 10 other,
01:27:26,01:27:28,00:00:01,idle,
01:27:28,01:27:33,00:00:05,5 Class 6 coding in VSC,
01:27:33,01:27:35,00:00:02,idle,
01:27:36,01:27:41,00:00:05,2 Class 3 using github,
01:27:41,01:27:43,00:00:02,idle,
01:27:43,01:27:48,00:00:05,5 Class 6 coding in VSC,
01:27:48,01:28:03,00:00:15,idle,
01:28:04,01:28:09,00:00:05,5 Class 6 coding in VSC,
01:28:09,01:28:19,00:00:09,idle,
01:28:19,01:28:21,00:00:02,2 Class 3 using github,
01:28:21,01:28:24,00:00:03,5 Class 6 coding in VSC,
01:28:25,01:28:30,00:00:05,5 Class 6 coding in VSC,
01:28:30,01:28:40,00:00:09,idle,
01:28:40,01:28:42,00:00:02,2 Class 3 using github,
01:28:43,01:28:48,00:00:05,5 Class 6 coding in VSC,
01:28:48,01:29:42,00:00:54,idle,
01:29:44,01:29:46,00:00:02,0 Class 1 browsing the web,
01:29:46,01:29:51,00:00:05,5 Class 6 coding in VSC,
01:29:51,01:29:55,00:00:04,idle,
01:29:55,01:29:59,00:00:04,0 Class 1 browsing the web,
01:30:00,01:30:05,00:00:05,0 Class 1 browsing the web,
01:30:05,01:30:11,00:00:06,idle,
01:30:11,01:30:16,00:00:05,5 Class 6 coding in VSC,
01:30:16,01:30:24,00:00:08,idle,
01:30:24,01:30:27,00:00:02,0 Class 1 browsing the web,
01:30:27,01:30:32,00:00:05,5 Class 6 coding in VSC,
01:30:32,01:30:35,00:00:03,idle,
01:30:35,01:30:39,00:00:04,0 Class 1 browsing the web,
01:30:40,01:30:45,00:00:05,2 Class 3 using github,
01:30:45,01:30:47,00:00:02,idle,
01:30:51,01:30:56,00:00:05,0 Class 1 browsing the web,
01:30:56,01:31:03,00:00:07,idle,
01:31:06,01:31:11,00:00:05,1 Class 2 reading technical documentation,
01:31:11,01:31:16,00:00:05,idle,
01:31:19,01:31:21,00:00:02,9 Class 10 other,
01:31:23,01:31:26,00:00:02,9 Class 10 other,
01:31:26,01:31:31,00:00:05,2 Class 3 using github,
01:31:31,01:31:49,00:00:18,idle,
01:31:50,01:31:55,00:00:05,0 Class 1 browsing the web,
01:31:55,01:32:52,00:00:57,idle,
01:32:52,01:32:57,00:00:05,2 Class 3 using github,
01:32:57,01:33:08,00:00:10,idle,
01:33:10,01:33:15,00:00:05,0 Class 1 browsing the web,
01:33:15,01:33:16,00:00:01,idle,
01:33:17,01:33:20,00:00:02,0 Class 1 browsing the web,
01:33:20,01:33:25,00:00:05,2 Class 3 using github,
01:33:25,01:33:29,00:00:04,idle,
01:33:31,01:33:33,00:00:02,9 Class 10 other,
01:33:36,01:33:38,00:00:02,9 Class 10 other,
01:33:39,01:33:44,00:00:05,2 Class 3 using github,
01:33:44,01:33:49,00:00:05,idle,
01:33:53,01:33:55,00:00:02,0 Class 1 browsing the web,
01:34:01,01:34:06,00:00:05,0 Class 1 browsing the web,
01:34:06,01:34:07,00:00:01,idle,
01:34:10,01:34:12,00:00:02,9 Class 10 other,
01:34:13,01:34:15,00:00:02,0 Class 1 browsing the web,
01:34:15,01:34:17,00:00:02,2 Class 3 using github,
01:34:18,01:34:20,00:00:02,0 Class 1 browsing the web,
01:34:24,01:34:29,00:00:05,0 Class 1 browsing the web,
01:34:29,01:34:32,00:00:02,1 Class 2 reading technical documentation,
01:34:33,01:34:38,00:00:05,9 Class 10 other,
01:34:38,01:34:39,00:00:01,idle,
01:34:40,01:34:45,00:00:05,9 Class 10 other,
01:34:45,01:34:47,00:00:02,idle,
01:34:49,01:34:52,00:00:03,9 Class 10 other,
01:34:55,01:34:57,00:00:02,9 Class 10 other,
01:35:04,01:35:06,00:00:02,0 Class 1 browsing the web,
01:35:06,01:35:08,00:00:02,9 Class 10 other,
01:35:09,01:35:14,00:00:05,9 Class 10 other,
01:35:14,01:35:22,00:00:08,idle,
01:35:22,01:35:27,00:00:05,0 Class 1 browsing the web,
01:35:27,01:35:29,00:00:02,9 Class 10 other,
01:35:29,01:35:34,00:00:05,2 Class 3 using github,
01:35:34,01:35:35,00:00:01,idle,
01:35:41,01:35:46,00:00:05,2 Class 3 using github,
01:35:46,01:35:47,00:00:01,idle,
01:35:51,01:35:55,00:00:04,2 Class 3 using github,
01:35:56,01:36:01,00:00:05,2 Class 3 using github,
01:36:01,01:36:05,00:00:04,idle,
01:36:05,01:36:07,00:00:02,7 Class 8 using file explorer,
01:36:10,01:36:13,00:00:02,2 Class 3 using github,
01:36:13,01:36:16,00:00:03,0 Class 1 browsing the web,
01:36:21,01:36:25,00:00:04,9 Class 10 other,
01:36:26,01:36:29,00:00:03,9 Class 10 other,
01:36:29,01:36:32,00:00:02,2 Class 3 using github,
01:36:39,01:36:44,00:00:05,9 Class 10 other,
01:36:44,01:36:50,00:00:06,idle,
01:36:50,01:36:55,00:00:05,5 Class 6 coding in VSC,
01:36:55,01:37:27,00:00:31,idle,
01:37:27,01:37:30,00:00:03,9 Class 10 other,
01:37:30,01:37:35,00:00:04,5 Class 6 coding in VSC,
01:37:35,01:37:39,00:00:04,9 Class 10 other,
