start_time,end_time,duration,class,frequency
00:00:00,00:00:04,00:00:04,9 Class 10 other,
00:00:04,00:00:09,00:00:05,5 Class 6 coding in VSC,
00:00:09,00:00:57,00:00:48,idle,
00:01:00,00:01:02,00:00:02,5 Class 6 coding in VSC,
00:01:05,00:01:10,00:00:05,7 Class 8 using file explorer,
00:01:10,00:01:13,00:00:03,idle,
00:01:13,00:01:15,00:00:02,5 Class 6 coding in VSC,
00:01:17,00:01:19,00:00:02,7 Class 8 using file explorer,
00:01:19,00:01:24,00:00:05,5 Class 6 coding in VSC,
00:01:24,00:02:39,00:01:14,idle,
00:02:40,00:02:45,00:00:05,0 Class 1 browsing the web,
00:02:45,00:02:50,00:00:04,4 Class 5 editing docs,
00:02:52,00:02:57,00:00:05,5 Class 6 coding in VSC,
00:02:57,00:03:45,00:00:48,idle,
00:03:45,00:03:50,00:00:05,4 Class 5 editing docs,
00:03:50,00:09:22,00:05:32,idle,
00:09:23,00:09:28,00:00:05,4 Class 5 editing docs,
00:09:28,00:42:51,00:33:23,idle,
00:42:51,00:42:56,00:00:05,9 Class 10 other,
00:42:56,00:42:59,00:00:02,idle,
00:42:59,00:43:01,00:00:02,5 Class 6 coding in VSC,
00:43:04,00:43:07,00:00:03,0 Class 1 browsing the web,
00:43:09,00:43:12,00:00:02,11 Class 12 socials,
00:43:13,00:43:17,00:00:03,11 Class 12 socials,
00:43:18,00:43:21,00:00:03,9 Class 10 other,
00:43:21,00:43:26,00:00:05,4 Class 5 editing docs,
00:43:26,00:46:26,00:03:00,idle,
00:46:26,00:46:28,00:00:02,0 Class 1 browsing the web,
00:46:28,00:46:33,00:00:05,4 Class 5 editing docs,
00:46:33,00:47:19,00:00:45,idle,
00:47:20,00:47:22,00:00:02,4 Class 5 editing docs,
00:47:22,00:47:27,00:00:05,0 Class 1 browsing the web,
00:47:27,00:47:28,00:00:01,idle,
00:47:28,00:47:33,00:00:05,4 Class 5 editing docs,
00:47:33,00:47:43,00:00:10,idle,
00:47:44,00:47:50,00:00:05,4 Class 5 editing docs,
