start_time,end_time,duration,class,frequency
00:00:00,00:00:04,00:00:04,9 Class 10 other,
00:00:04,00:00:08,00:00:04,4 Class 5 editing docs,
00:00:08,00:00:13,00:00:05,5 Class 6 coding in VSC,
00:00:13,00:00:15,00:00:02,idle,
00:00:15,00:00:17,00:00:02,2 Class 3 using github,
00:00:17,00:00:20,00:00:02,7 Class 8 using file explorer,
00:00:20,00:00:23,00:00:03,5 Class 6 coding in VSC,
00:00:23,00:00:28,00:00:05,7 Class 8 using file explorer,
00:00:28,00:00:35,00:00:07,idle,
00:00:36,00:00:38,00:00:02,7 Class 8 using file explorer,
00:00:42,00:00:46,00:00:04,2 Class 3 using github,
00:00:47,00:00:53,00:00:05,2 Class 3 using github,
00:00:53,00:00:57,00:00:04,5 Class 6 coding in VSC,
00:00:58,00:01:03,00:00:05,5 Class 6 coding in VSC,
00:01:03,00:01:54,00:00:51,idle,
00:01:54,00:01:59,00:00:05,9 Class 10 other,
00:01:59,00:02:02,00:00:03,idle,
00:02:02,00:02:07,00:00:05,5 Class 6 coding in VSC,
00:02:07,00:42:32,00:40:24,idle,
00:42:34,00:42:39,00:00:05,4 Class 5 editing docs,
00:42:39,00:43:03,00:00:23,idle,
00:43:03,00:43:08,00:00:05,4 Class 5 editing docs,
00:43:08,00:43:28,00:00:19,idle,
00:43:28,00:43:33,00:00:05,4 Class 5 editing docs,
00:43:33,00:43:53,00:00:19,idle,
00:43:53,00:43:58,00:00:05,4 Class 5 editing docs,
00:43:58,00:44:18,00:00:19,idle,
00:44:18,00:44:23,00:00:05,4 Class 5 editing docs,
00:44:23,00:45:33,00:01:09,idle,
00:45:33,00:45:38,00:00:05,4 Class 5 editing docs,
00:45:38,00:45:41,00:00:03,idle,
00:45:42,00:45:47,00:00:05,4 Class 5 editing docs,
00:45:47,00:45:58,00:00:11,idle,
00:45:58,00:46:03,00:00:05,4 Class 5 editing docs,
00:46:03,00:46:06,00:00:03,idle,
00:46:07,00:46:12,00:00:05,4 Class 5 editing docs,
00:46:12,00:46:23,00:00:11,idle,
