start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:00:08,00:00:03,idle,
00:00:08,00:00:13,00:00:05,5 Class 6 coding in VSC,
00:00:13,00:00:43,00:00:30,idle,
00:00:43,00:00:45,00:00:02,2 Class 3 using github,
00:00:45,00:00:50,00:00:05,5 Class 6 coding in VSC,
00:00:50,00:01:00,00:00:09,idle,
00:01:01,00:01:03,00:00:02,9 Class 10 other,
00:01:03,00:01:05,00:00:02,4 Class 5 editing docs,
00:01:06,00:01:11,00:00:05,4 Class 5 editing docs,
00:01:11,00:01:16,00:00:05,idle,
00:01:17,00:01:23,00:00:05,5 Class 6 coding in VSC,
00:01:23,00:01:28,00:00:05,2 Class 3 using github,
00:01:28,00:01:36,00:00:08,idle,
00:01:36,00:01:41,00:00:05,5 Class 6 coding in VSC,
00:01:41,00:01:47,00:00:06,idle,
00:01:47,00:01:52,00:00:05,5 Class 6 coding in VSC,
00:01:52,00:02:05,00:00:13,idle,
00:02:06,00:02:11,00:00:05,2 Class 3 using github,
00:02:11,00:02:16,00:00:05,5 Class 6 coding in VSC,
00:02:16,00:42:26,00:40:10,idle,
00:42:28,00:42:30,00:00:02,5 Class 6 coding in VSC,
00:42:31,00:42:34,00:00:03,9 Class 10 other,
00:42:34,00:42:37,00:00:03,5 Class 6 coding in VSC,
00:42:41,00:42:46,00:00:05,0 Class 1 browsing the web,
00:42:46,00:42:48,00:00:02,idle,
00:42:49,00:42:54,00:00:05,0 Class 1 browsing the web,
00:42:54,00:42:55,00:00:01,idle,
00:42:56,00:43:01,00:00:05,0 Class 1 browsing the web,
00:43:01,00:43:08,00:00:07,idle,
00:43:08,00:43:11,00:00:03,4 Class 5 editing docs,
00:43:13,00:43:18,00:00:05,4 Class 5 editing docs,
00:43:18,00:43:34,00:00:16,idle,
00:43:37,00:43:42,00:00:05,4 Class 5 editing docs,
00:43:42,00:43:46,00:00:04,idle,
