start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:00:59,00:00:54,idle,
00:00:59,00:01:01,00:00:02,5 Class 6 coding in VSC,
00:01:01,00:01:03,00:00:02,0 Class 1 browsing the web,
00:01:03,00:01:05,00:00:02,5 Class 6 coding in VSC,
00:01:05,00:01:10,00:00:05,9 Class 10 other,
00:01:10,00:01:46,00:00:36,idle,
00:01:46,00:01:51,00:00:05,5 Class 6 coding in VSC,
00:01:51,00:02:07,00:00:15,idle,
00:02:07,00:02:10,00:00:03,9 Class 10 other,
00:02:12,00:02:17,00:00:05,9 Class 10 other,
00:02:17,00:04:51,00:02:34,idle,
00:04:51,00:04:56,00:00:05,5 Class 6 coding in VSC,
00:04:56,00:05:04,00:00:07,idle,
00:05:05,00:05:10,00:00:05,9 Class 10 other,
00:05:10,00:05:17,00:00:07,idle,
00:05:17,00:05:21,00:00:04,5 Class 6 coding in VSC,
00:05:21,00:05:26,00:00:05,7 Class 8 using file explorer,
00:05:26,00:05:30,00:00:04,idle,
00:05:30,00:05:35,00:00:05,5 Class 6 coding in VSC,
00:05:35,00:13:33,00:07:58,idle,
00:13:33,00:13:38,00:00:05,7 Class 8 using file explorer,
00:13:38,00:13:43,00:00:05,5 Class 6 coding in VSC,
00:13:43,00:15:54,00:02:11,idle,
00:15:54,00:15:59,00:00:05,7 Class 8 using file explorer,
00:15:59,00:18:30,00:02:30,idle,
00:18:30,00:18:35,00:00:05,5 Class 6 coding in VSC,
00:18:35,00:18:37,00:00:02,9 Class 10 other,
00:18:37,00:18:39,00:00:02,5 Class 6 coding in VSC,
00:18:39,00:18:41,00:00:02,9 Class 10 other,
00:18:44,00:18:48,00:00:04,0 Class 1 browsing the web,
00:18:51,00:18:56,00:00:05,0 Class 1 browsing the web,
00:18:56,00:19:03,00:00:07,idle,
00:19:05,00:19:10,00:00:05,4 Class 5 editing docs,
00:19:10,00:19:12,00:00:02,idle,
00:19:12,00:19:17,00:00:05,0 Class 1 browsing the web,
00:19:17,00:19:23,00:00:06,idle,
00:19:24,00:19:27,00:00:03,0 Class 1 browsing the web,
