start_time,end_time,duration,class,frequency
00:00:00,00:00:02,00:00:02,9 Class 10 other,
00:00:03,00:00:08,00:00:05,5 Class 6 coding in VSC,
00:00:08,00:00:47,00:00:39,idle,
00:00:47,00:00:52,00:00:04,9 Class 10 other,
00:00:52,00:00:57,00:00:05,5 Class 6 coding in VSC,
00:00:57,00:03:56,00:02:59,idle,
00:03:56,00:03:59,00:00:02,3 Class 4 cmd command,
00:03:59,00:04:02,00:00:02,4 Class 5 editing docs,
00:04:04,00:04:09,00:00:05,5 Class 6 coding in VSC,
00:04:09,00:06:23,00:02:14,idle,
00:06:24,00:06:28,00:00:04,4 Class 5 editing docs,
00:06:29,00:06:34,00:00:05,5 Class 6 coding in VSC,
00:06:34,00:06:51,00:00:17,idle,
00:06:52,00:06:57,00:00:05,4 Class 5 editing docs,
00:06:57,00:07:03,00:00:06,idle,
00:07:04,00:07:08,00:00:04,5 Class 6 coding in VSC,
00:07:08,00:07:13,00:00:05,3 Class 4 cmd command,
00:07:13,00:07:37,00:00:23,idle,
00:07:37,00:07:42,00:00:05,5 Class 6 coding in VSC,
00:07:42,00:09:02,00:01:20,idle,
00:09:06,00:09:11,00:00:05,5 Class 6 coding in VSC,
00:09:11,00:09:25,00:00:13,idle,
00:09:25,00:09:27,00:00:02,3 Class 4 cmd command,
00:09:27,00:09:32,00:00:05,4 Class 5 editing docs,
00:09:32,00:09:42,00:00:10,idle,
00:09:44,00:09:49,00:00:05,5 Class 6 coding in VSC,
00:09:49,00:10:01,00:00:12,idle,
00:10:01,00:10:06,00:00:05,4 Class 5 editing docs,
00:10:06,00:24:45,00:14:39,idle,
00:24:45,00:24:50,00:00:05,3 Class 4 cmd command,
00:24:50,00:31:14,00:06:24,idle,
00:31:14,00:31:19,00:00:04,7 Class 8 using file explorer,
00:31:19,00:31:23,00:00:03,6 Class 7 watching YT,
00:31:24,00:31:29,00:00:05,11 Class 12 socials,
00:31:29,00:31:50,00:00:20,idle,
00:31:51,00:31:56,00:00:05,11 Class 12 socials,
00:31:56,00:32:44,00:00:48,idle,
00:32:45,00:32:50,00:00:05,4 Class 5 editing docs,
00:32:50,00:44:07,00:11:17,idle,
00:44:07,00:44:12,00:00:05,5 Class 6 coding in VSC,
00:44:12,00:53:50,00:09:38,idle,
00:53:50,00:53:52,00:00:02,4 Class 5 editing docs,
00:53:52,00:53:57,00:00:05,5 Class 6 coding in VSC,
00:53:57,00:54:52,00:00:55,idle,
00:54:52,00:54:57,00:00:05,4 Class 5 editing docs,
00:54:57,01:46:42,00:51:45,idle,
01:46:42,01:46:47,00:00:05,6 Class 7 watching YT,
01:46:47,01:46:49,00:00:02,0 Class 1 browsing the web,
01:46:50,01:46:52,00:00:02,5 Class 6 coding in VSC,
01:46:52,01:46:54,00:00:02,0 Class 1 browsing the web,
01:46:54,01:46:59,00:00:05,2 Class 3 using github,
01:46:59,01:47:03,00:00:04,idle,
01:47:05,01:47:08,00:00:03,0 Class 1 browsing the web,
01:47:09,01:47:14,00:00:05,0 Class 1 browsing the web,
01:47:14,01:47:16,00:00:02,idle,
01:47:23,01:47:28,00:00:05,0 Class 1 browsing the web,
01:47:28,01:47:46,00:00:18,idle,
01:47:46,01:47:49,00:00:02,2 Class 3 using github,
01:47:49,01:47:54,00:00:05,0 Class 1 browsing the web,
01:47:59,01:48:04,00:00:05,2 Class 3 using github,
01:48:06,01:48:11,00:00:05,2 Class 3 using github,
01:48:11,01:48:23,00:00:12,idle,
01:48:23,01:48:28,00:00:05,4 Class 5 editing docs,
01:48:28,01:50:32,00:02:04,idle,
01:50:32,01:50:37,00:00:05,6 Class 7 watching YT,
01:50:37,01:52:27,00:01:50,idle,
01:52:27,01:52:32,00:00:05,4 Class 5 editing docs,
01:52:32,01:53:40,00:01:07,idle,
01:53:40,01:53:43,00:00:03,6 Class 7 watching YT,
01:53:43,01:53:48,00:00:05,0 Class 1 browsing the web,
01:53:48,01:54:05,00:00:17,idle,
01:54:06,01:54:11,00:00:05,6 Class 7 watching YT,
01:54:11,01:54:40,00:00:29,idle,
01:54:40,01:54:45,00:00:04,2 Class 3 using github,
01:54:45,01:54:50,00:00:05,6 Class 7 watching YT,
01:54:50,01:55:30,00:00:40,idle,
01:55:30,01:55:35,00:00:05,2 Class 3 using github,
01:55:35,01:55:49,00:00:13,idle,
01:55:51,01:55:54,00:00:03,2 Class 3 using github,
01:55:54,01:55:57,00:00:03,6 Class 7 watching YT,
01:55:57,01:56:02,00:00:05,6 Class 7 watching YT,
01:56:02,01:56:09,00:00:06,idle,
01:56:10,01:56:15,00:00:05,0 Class 1 browsing the web,
01:56:15,01:56:42,00:00:26,idle,
01:56:42,01:56:46,00:00:04,2 Class 3 using github,
01:56:48,01:56:53,00:00:05,2 Class 3 using github,
01:56:53,01:56:58,00:00:05,9 Class 10 other,
01:56:58,01:57:05,00:00:07,idle,
01:57:06,01:57:09,00:00:03,9 Class 10 other,
01:57:09,01:57:12,00:00:02,2 Class 3 using github,
01:57:12,01:57:14,00:00:02,9 Class 10 other,
01:57:15,01:57:17,00:00:02,9 Class 10 other,
01:57:17,01:57:19,00:00:02,9 Class 10 other,
01:57:19,01:57:23,00:00:04,2 Class 3 using github,
01:57:27,01:57:31,00:00:04,9 Class 10 other,
01:57:31,01:57:34,00:00:03,2 Class 3 using github,
01:57:35,01:57:39,00:00:04,6 Class 7 watching YT,
01:57:39,01:57:41,00:00:02,0 Class 1 browsing the web,
01:57:41,01:57:46,00:00:05,2 Class 3 using github,
01:57:46,01:57:58,00:00:11,idle,
01:57:58,01:58:03,00:00:05,6 Class 7 watching YT,
01:58:03,01:58:12,00:00:09,idle,
01:58:13,01:58:15,00:00:02,6 Class 7 watching YT,
01:58:15,01:58:19,00:00:03,0 Class 1 browsing the web,
01:58:19,01:58:21,00:00:02,9 Class 10 other,
01:58:23,01:58:28,00:00:05,0 Class 1 browsing the web,
01:58:28,01:58:32,00:00:04,idle,
01:58:32,01:58:34,00:00:02,2 Class 3 using github,
01:58:34,01:58:38,00:00:03,9 Class 10 other,
01:58:38,01:58:43,00:00:05,11 Class 12 socials,
01:58:43,01:59:01,00:00:18,idle,
01:59:01,01:59:06,00:00:05,0 Class 1 browsing the web,
01:59:06,01:59:13,00:00:06,idle,
01:59:13,01:59:18,00:00:05,11 Class 12 socials,
01:59:18,02:00:11,00:00:53,idle,
02:00:11,02:00:16,00:00:05,2 Class 3 using github,
02:00:16,02:00:38,00:00:21,idle,
02:00:38,02:00:43,00:00:05,5 Class 6 coding in VSC,
02:00:43,02:06:56,00:06:13,idle,
02:06:56,02:07:01,00:00:05,6 Class 7 watching YT,
02:07:01,02:13:39,00:06:37,idle,
02:13:39,02:13:44,00:00:05,4 Class 5 editing docs,
02:13:44,03:14:23,01:00:39,idle,
03:14:23,03:14:26,00:00:03,6 Class 7 watching YT,
03:14:27,03:14:30,00:00:02,6 Class 7 watching YT,
03:14:31,03:14:36,00:00:05,2 Class 3 using github,
03:14:36,03:27:12,00:12:35,idle,
03:27:12,03:27:17,00:00:05,9 Class 10 other,
03:27:17,03:29:46,00:02:29,idle,
03:29:46,03:29:48,00:00:02,2 Class 3 using github,
03:29:48,03:29:53,00:00:05,4 Class 5 editing docs,
03:29:53,04:17:18,00:47:25,idle,
04:17:19,04:17:24,00:00:05,4 Class 5 editing docs,
04:17:24,04:23:44,00:06:20,idle,
04:23:44,04:23:49,00:00:05,9 Class 10 other,
04:23:49,04:23:53,00:00:04,idle,
,,,,
,,,,
,,,,
,,00:00:47,0 Class 1 browsing the web,12.0
,,00:00:20,11 Class 12 socials,4.0
,,00:01:06,2 Class 3 using github,17.0
,,00:00:14,3 Class 4 cmd command,4.0
,,00:00:58,4 Class 5 editing docs,13.0
,,00:00:56,5 Class 6 coding in VSC,12.0
,,00:00:55,6 Class 7 watching YT,14.0
,,00:00:04,7 Class 8 using file explorer,1.0
,,00:00:39,9 Class 10 other,12.0
,,04:16:38,idle,47.0
