start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:00:10,00:00:05,5 Class 6 coding in VSC,
00:00:10,00:00:12,00:00:02,idle,
00:00:12,00:00:15,00:00:03,7 Class 8 using file explorer,
00:00:16,00:00:21,00:00:05,7 Class 8 using file explorer,
00:00:21,00:00:27,00:00:05,idle,
00:00:27,00:00:32,00:00:05,5 Class 6 coding in VSC,
00:00:32,00:00:34,00:00:02,idle,
00:00:34,00:00:39,00:00:05,7 Class 8 using file explorer,
00:00:39,00:00:42,00:00:03,idle,
00:00:42,00:00:47,00:00:05,0 Class 1 browsing the web,
00:00:47,00:00:51,00:00:03,idle,
00:00:53,00:00:58,00:00:05,5 Class 6 coding in VSC,
00:00:58,00:01:00,00:00:02,idle,
00:01:00,00:01:05,00:00:05,0 Class 1 browsing the web,
00:01:05,00:01:10,00:00:05,idle,
00:01:10,00:01:16,00:00:05,5 Class 6 coding in VSC,
00:01:16,00:01:21,00:00:05,0 Class 1 browsing the web,
00:01:21,00:01:22,00:00:01,idle,
00:01:22,00:01:25,00:00:03,9 Class 10 other,
00:01:26,00:01:29,00:00:03,0 Class 1 browsing the web,
00:01:30,00:01:35,00:00:05,0 Class 1 browsing the web,
00:01:35,00:01:45,00:00:09,idle,
00:01:45,00:01:47,00:00:02,5 Class 6 coding in VSC,
00:01:47,00:01:52,00:00:05,0 Class 1 browsing the web,
00:01:52,00:01:53,00:00:01,idle,
00:02:03,00:02:06,00:00:03,2 Class 3 using github,
00:02:07,00:02:12,00:00:05,0 Class 1 browsing the web,
00:02:12,00:02:21,00:00:09,idle,
00:02:22,00:02:24,00:00:02,0 Class 1 browsing the web,
00:02:25,00:02:30,00:00:05,0 Class 1 browsing the web,
00:02:30,00:02:33,00:00:03,idle,
00:02:33,00:02:35,00:00:02,4 Class 5 editing docs,
00:02:35,00:02:40,00:00:05,0 Class 1 browsing the web,
00:02:40,00:02:43,00:00:03,idle,
00:02:43,00:02:48,00:00:05,5 Class 6 coding in VSC,
00:02:48,00:03:08,00:00:19,idle,
00:03:09,00:03:14,00:00:05,5 Class 6 coding in VSC,
00:03:14,00:03:18,00:00:04,idle,
00:03:21,00:03:24,00:00:03,5 Class 6 coding in VSC,
00:03:24,00:03:29,00:00:05,5 Class 6 coding in VSC,
00:03:29,00:03:38,00:00:09,idle,
00:03:40,00:03:44,00:00:04,0 Class 1 browsing the web,
00:03:46,00:03:51,00:00:05,5 Class 6 coding in VSC,
00:03:51,00:04:12,00:00:20,idle,
00:04:12,00:04:17,00:00:05,5 Class 6 coding in VSC,
00:04:17,00:05:45,00:01:27,idle,
00:05:45,00:05:50,00:00:05,5 Class 6 coding in VSC,
00:05:50,00:06:08,00:00:18,idle,
00:06:08,00:06:12,00:00:03,0 Class 1 browsing the web,
00:06:13,00:06:15,00:00:02,0 Class 1 browsing the web,
00:06:17,00:06:22,00:00:05,5 Class 6 coding in VSC,
00:06:22,00:06:52,00:00:30,idle,
00:06:53,00:06:58,00:00:05,5 Class 6 coding in VSC,
00:06:58,00:07:20,00:00:22,idle,
00:07:22,00:07:27,00:00:05,7 Class 8 using file explorer,
00:07:27,00:07:34,00:00:07,idle,
00:07:34,00:07:39,00:00:05,5 Class 6 coding in VSC,
00:07:39,00:07:55,00:00:16,idle,
00:07:56,00:08:01,00:00:05,5 Class 6 coding in VSC,
00:08:01,00:08:24,00:00:23,idle,
00:08:24,00:08:27,00:00:03,0 Class 1 browsing the web,
00:08:27,00:08:29,00:00:02,6 Class 7 watching YT,
00:08:30,00:08:35,00:00:05,5 Class 6 coding in VSC,
00:08:35,00:08:52,00:00:17,idle,
00:08:53,00:08:58,00:00:05,0 Class 1 browsing the web,
00:08:58,00:09:28,00:00:30,idle,
00:09:29,00:09:33,00:00:03,4 Class 5 editing docs,
00:09:33,00:09:35,00:00:02,4 Class 5 editing docs,
00:09:35,00:09:37,00:00:02,0 Class 1 browsing the web,
00:09:37,00:09:40,00:00:02,4 Class 5 editing docs,
00:09:40,00:09:45,00:00:05,0 Class 1 browsing the web,
00:09:45,00:09:50,00:00:05,0 Class 1 browsing the web,
00:09:50,00:09:53,00:00:03,idle,
00:09:54,00:09:58,00:00:04,0 Class 1 browsing the web,
00:09:58,00:10:03,00:00:05,4 Class 5 editing docs,
00:10:03,00:10:19,00:00:16,idle,
00:10:19,00:10:22,00:00:02,0 Class 1 browsing the web,
00:10:22,00:10:26,00:00:04,4 Class 5 editing docs,
00:10:27,00:10:32,00:00:05,4 Class 5 editing docs,
00:10:32,00:10:35,00:00:03,idle,
00:10:35,00:10:38,00:00:02,0 Class 1 browsing the web,
00:10:38,00:10:43,00:00:05,4 Class 5 editing docs,
00:10:43,00:10:48,00:00:05,idle,
00:10:48,00:10:52,00:00:03,0 Class 1 browsing the web,
00:10:52,00:10:57,00:00:05,4 Class 5 editing docs,
00:10:57,00:13:00,00:02:03,idle,
00:13:05,00:13:10,00:00:05,4 Class 5 editing docs,
00:13:10,00:14:29,00:01:19,idle,
00:14:30,00:14:35,00:00:05,4 Class 5 editing docs,
00:14:35,00:16:00,00:01:24,idle,
00:16:01,00:16:06,00:00:05,0 Class 1 browsing the web,
00:16:06,00:16:18,00:00:12,idle,
00:16:25,00:16:30,00:00:05,0 Class 1 browsing the web,
00:16:30,00:16:33,00:00:03,idle,
00:16:34,00:16:38,00:00:03,5 Class 6 coding in VSC,
00:16:38,00:16:43,00:00:05,0 Class 1 browsing the web,
00:16:43,00:16:46,00:00:02,0 Class 1 browsing the web,
00:16:51,00:16:56,00:00:05,0 Class 1 browsing the web,
00:16:56,00:17:06,00:00:10,idle,
00:17:08,00:17:10,00:00:02,0 Class 1 browsing the web,
00:17:11,00:17:16,00:00:05,0 Class 1 browsing the web,
00:17:16,00:17:18,00:00:02,idle,
00:17:18,00:17:22,00:00:03,0 Class 1 browsing the web,
00:17:23,00:17:26,00:00:03,2 Class 3 using github,
00:17:26,00:17:29,00:00:02,2 Class 3 using github,
00:17:32,00:17:37,00:00:05,2 Class 3 using github,
00:17:37,00:17:52,00:00:14,idle,
00:17:52,00:17:54,00:00:02,0 Class 1 browsing the web,
00:17:55,00:17:57,00:00:02,0 Class 1 browsing the web,
00:17:58,00:18:03,00:00:05,0 Class 1 browsing the web,
00:18:03,00:18:14,00:00:11,idle,
00:18:15,00:18:19,00:00:04,5 Class 6 coding in VSC,
00:18:19,00:18:21,00:00:02,0 Class 1 browsing the web,
00:18:21,00:18:23,00:00:02,5 Class 6 coding in VSC,
00:18:26,00:18:31,00:00:05,5 Class 6 coding in VSC,
00:18:31,00:18:33,00:00:02,idle,
00:18:35,00:18:40,00:00:05,5 Class 6 coding in VSC,
00:18:40,00:18:41,00:00:01,idle,
00:18:48,00:18:53,00:00:05,0 Class 1 browsing the web,
00:18:53,00:18:55,00:00:02,5 Class 6 coding in VSC,
00:18:56,00:19:00,00:00:03,4 Class 5 editing docs,
00:19:00,00:19:05,00:00:05,0 Class 1 browsing the web,
00:19:05,00:19:08,00:00:03,idle,
00:19:08,00:19:13,00:00:05,2 Class 3 using github,
00:19:13,00:19:27,00:00:14,idle,
00:19:27,00:19:31,00:00:04,0 Class 1 browsing the web,
00:19:31,00:19:36,00:00:05,7 Class 8 using file explorer,
00:19:36,00:19:38,00:00:02,idle,
00:19:41,00:19:46,00:00:05,4 Class 5 editing docs,
00:19:46,00:19:59,00:00:13,idle,
00:20:02,00:20:07,00:00:05,2 Class 3 using github,
00:20:07,00:20:10,00:00:03,idle,
00:20:10,00:20:14,00:00:04,0 Class 1 browsing the web,
00:20:14,00:20:17,00:00:03,4 Class 5 editing docs,
00:20:18,00:20:21,00:00:03,4 Class 5 editing docs,
00:20:21,00:20:25,00:00:03,0 Class 1 browsing the web,
00:20:29,00:20:31,00:00:02,4 Class 5 editing docs,
00:20:32,00:20:36,00:00:03,2 Class 3 using github,
00:20:36,00:20:41,00:00:05,0 Class 1 browsing the web,
00:20:41,00:20:45,00:00:04,idle,
00:20:45,00:20:48,00:00:03,0 Class 1 browsing the web,
00:20:48,00:20:54,00:00:05,4 Class 5 editing docs,
00:20:55,00:21:00,00:00:05,4 Class 5 editing docs,
00:21:00,00:21:14,00:00:14,idle,
00:21:14,00:21:17,00:00:02,0 Class 1 browsing the web,
00:21:17,00:21:22,00:00:05,4 Class 5 editing docs,
00:21:22,00:21:49,00:00:27,idle,
00:21:49,00:21:54,00:00:05,4 Class 5 editing docs,
00:21:54,00:21:58,00:00:04,idle,
00:21:58,00:22:04,00:00:05,0 Class 1 browsing the web,
00:22:06,00:22:10,00:00:03,0 Class 1 browsing the web,
00:22:11,00:22:16,00:00:05,2 Class 3 using github,
00:22:19,00:22:25,00:00:05,0 Class 1 browsing the web,
