start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:00:08,00:00:03,idle,
00:00:08,00:00:10,00:00:02,7 Class 8 using file explorer,
00:00:11,00:00:16,00:00:05,5 Class 6 coding in VSC,
00:00:19,00:00:23,00:00:04,3 Class 4 cmd command,
00:00:23,00:00:28,00:00:05,7 Class 8 using file explorer,
00:00:28,00:00:30,00:00:01,idle,
00:00:30,00:00:35,00:00:05,5 Class 6 coding in VSC,
00:00:35,00:00:39,00:00:04,idle,
00:00:41,00:00:43,00:00:02,7 Class 8 using file explorer,
00:00:44,00:00:49,00:00:05,5 Class 6 coding in VSC,
00:00:49,00:00:54,00:00:04,idle,
00:00:54,00:00:59,00:00:05,5 Class 6 coding in VSC,
00:00:59,00:01:20,00:00:21,idle,
00:01:23,00:01:28,00:00:05,5 Class 6 coding in VSC,
00:01:28,00:01:29,00:00:01,idle,
00:01:34,00:01:39,00:00:05,5 Class 6 coding in VSC,
00:01:39,00:05:22,00:03:43,idle,
00:05:24,00:05:26,00:00:02,4 Class 5 editing docs,
00:05:26,00:05:28,00:00:02,0 Class 1 browsing the web,
00:05:30,00:05:32,00:00:02,0 Class 1 browsing the web,
00:05:34,00:05:36,00:00:02,4 Class 5 editing docs,
00:05:36,00:05:38,00:00:02,4 Class 5 editing docs,
00:05:38,00:05:43,00:00:05,0 Class 1 browsing the web,
00:05:43,00:05:53,00:00:09,idle,
00:05:53,00:05:58,00:00:05,0 Class 1 browsing the web,
00:05:58,00:06:05,00:00:06,idle,
00:06:07,00:06:12,00:00:05,0 Class 1 browsing the web,
00:06:12,00:06:17,00:00:05,idle,
00:06:21,00:06:24,00:00:03,0 Class 1 browsing the web,
00:06:30,00:06:34,00:00:04,0 Class 1 browsing the web,
00:06:35,00:06:37,00:00:02,0 Class 1 browsing the web,
00:06:37,00:06:40,00:00:03,5 Class 6 coding in VSC,
