start_time,end_time,duration,class,frequency
00:00:00,00:00:03,00:00:03,9 Class 10 other,
00:00:03,00:00:08,00:00:05,7 Class 8 using file explorer,
00:00:08,00:00:11,00:00:02,idle,
00:00:14,00:00:16,00:00:02,7 Class 8 using file explorer,
00:00:16,00:00:19,00:00:02,0 Class 1 browsing the web,
00:00:19,00:00:21,00:00:02,6 Class 7 watching YT,
00:00:21,00:00:24,00:00:03,9 Class 10 other,
00:00:24,00:00:29,00:00:05,5 Class 6 coding in VSC,
00:00:29,00:00:43,00:00:14,idle,
00:00:43,00:00:48,00:00:05,5 Class 6 coding in VSC,
00:00:48,00:00:51,00:00:03,idle,
00:00:57,00:01:02,00:00:05,5 Class 6 coding in VSC,
00:01:02,00:01:17,00:00:15,idle,
00:01:17,00:01:20,00:00:03,9 Class 10 other,
00:01:26,00:01:30,00:00:04,6 Class 7 watching YT,
00:01:30,00:01:35,00:00:05,5 Class 6 coding in VSC,
00:01:35,00:01:36,00:00:01,idle,
00:01:36,00:01:40,00:00:04,6 Class 7 watching YT,
00:01:40,00:01:42,00:00:02,3 Class 4 cmd command,
00:01:45,00:01:50,00:00:05,5 Class 6 coding in VSC,
00:01:50,00:01:56,00:00:05,idle,
00:01:56,00:01:58,00:00:02,9 Class 10 other,
00:01:58,00:02:01,00:00:02,2 Class 3 using github,
00:02:01,00:02:06,00:00:05,5 Class 6 coding in VSC,
00:02:06,00:02:28,00:00:22,idle,
00:02:29,00:02:34,00:00:05,5 Class 6 coding in VSC,
00:02:34,00:02:50,00:00:16,idle,
00:02:51,00:02:56,00:00:05,5 Class 6 coding in VSC,
00:02:56,00:06:38,00:03:42,idle,
00:06:39,00:06:41,00:00:02,7 Class 8 using file explorer,
00:06:43,00:06:48,00:00:05,7 Class 8 using file explorer,
00:06:48,00:07:05,00:00:17,idle,
00:07:05,00:07:10,00:00:05,5 Class 6 coding in VSC,
00:07:10,00:07:48,00:00:38,idle,
00:07:48,00:07:52,00:00:04,3 Class 4 cmd command,
00:07:53,00:07:58,00:00:05,3 Class 4 cmd command,
00:07:58,00:08:02,00:00:04,idle,
00:08:02,00:08:06,00:00:04,5 Class 6 coding in VSC,
00:08:07,00:08:11,00:00:04,5 Class 6 coding in VSC,
00:08:12,00:08:17,00:00:05,5 Class 6 coding in VSC,
00:08:17,00:09:06,00:00:48,idle,
00:09:06,00:09:08,00:00:02,7 Class 8 using file explorer,
00:09:08,00:09:13,00:00:05,5 Class 6 coding in VSC,
00:09:13,00:09:24,00:00:11,idle,
00:09:24,00:09:29,00:00:05,7 Class 8 using file explorer,
00:09:29,00:09:32,00:00:02,idle,
00:09:32,00:09:37,00:00:05,5 Class 6 coding in VSC,
00:09:37,00:09:43,00:00:06,idle,
