start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:00:09,00:00:04,4 Class 5 editing docs,
00:00:09,00:00:14,00:00:05,0 Class 1 browsing the web,
00:00:14,00:01:01,00:00:46,idle,
00:01:01,00:01:06,00:00:05,4 Class 5 editing docs,
00:01:06,00:01:21,00:00:15,idle,
00:01:22,00:01:26,00:00:04,3 Class 4 cmd command,
00:01:26,00:01:30,00:00:04,5 Class 6 coding in VSC,
00:01:32,00:01:34,00:00:02,5 Class 6 coding in VSC,
00:01:36,00:01:41,00:00:05,5 Class 6 coding in VSC,
00:01:41,00:02:40,00:00:58,idle,
00:02:44,00:02:49,00:00:05,3 Class 4 cmd command,
00:02:52,00:02:55,00:00:02,5 Class 6 coding in VSC,
00:02:55,00:02:59,00:00:04,5 Class 6 coding in VSC,
00:03:02,00:03:06,00:00:04,5 Class 6 coding in VSC,
00:03:09,00:03:11,00:00:02,3 Class 4 cmd command,
00:03:11,00:03:16,00:00:05,5 Class 6 coding in VSC,
00:03:16,00:03:18,00:00:01,idle,
00:03:20,00:03:22,00:00:02,5 Class 6 coding in VSC,
00:03:22,00:03:26,00:00:04,2 Class 3 using github,
00:03:26,00:03:31,00:00:05,5 Class 6 coding in VSC,
00:03:31,00:03:38,00:00:06,idle,
00:03:38,00:03:40,00:00:02,4 Class 5 editing docs,
00:03:43,00:03:46,00:00:03,4 Class 5 editing docs,
00:03:46,00:03:48,00:00:02,3 Class 4 cmd command,
00:03:48,00:03:51,00:00:03,5 Class 6 coding in VSC,
00:03:52,00:03:57,00:00:05,5 Class 6 coding in VSC,
00:03:57,00:04:03,00:00:06,idle,
00:04:03,00:04:06,00:00:03,2 Class 3 using github,
00:04:08,00:04:10,00:00:02,2 Class 3 using github,
00:04:10,00:04:13,00:00:03,5 Class 6 coding in VSC,
00:04:15,00:04:20,00:00:05,7 Class 8 using file explorer,
00:04:20,00:04:25,00:00:05,5 Class 6 coding in VSC,
00:04:25,00:04:29,00:00:03,idle,
00:04:29,00:04:34,00:00:05,2 Class 3 using github,
00:04:34,00:04:39,00:00:05,5 Class 6 coding in VSC,
00:04:39,00:04:45,00:00:06,idle,
00:04:47,00:04:52,00:00:05,5 Class 6 coding in VSC,
00:04:52,00:08:20,00:03:28,idle,
00:08:22,00:08:27,00:00:04,5 Class 6 coding in VSC,
00:08:28,00:08:33,00:00:05,0 Class 1 browsing the web,
00:08:33,00:09:05,00:00:32,idle,
00:09:07,00:09:09,00:00:02,0 Class 1 browsing the web,
00:09:09,00:09:11,00:00:02,4 Class 5 editing docs,
00:09:12,00:09:17,00:00:04,0 Class 1 browsing the web,
00:09:18,00:09:20,00:00:02,11 Class 12 socials,
00:09:20,00:09:25,00:00:05,0 Class 1 browsing the web,
00:09:25,00:09:28,00:00:02,idle,
00:09:31,00:09:36,00:00:05,0 Class 1 browsing the web,
00:09:36,00:09:45,00:00:08,idle,
00:09:45,00:09:50,00:00:05,4 Class 5 editing docs,
00:09:50,00:09:52,00:00:02,idle,
00:09:54,00:09:57,00:00:02,0 Class 1 browsing the web,
00:09:57,00:10:01,00:00:04,11 Class 12 socials,
00:10:08,00:10:13,00:00:05,4 Class 5 editing docs,
00:10:13,00:10:25,00:00:12,idle,
00:10:25,00:10:30,00:00:05,0 Class 1 browsing the web,
00:10:30,00:10:48,00:00:17,idle,
