start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:00:15,00:00:10,idle,
00:00:17,00:00:21,00:00:04,0 Class 1 browsing the web,
00:00:23,00:00:26,00:00:03,5 Class 6 coding in VSC,
00:00:29,00:00:34,00:00:05,6 Class 7 watching YT,
00:00:34,00:00:37,00:00:03,idle,
00:00:37,00:00:43,00:00:05,6 Class 7 watching YT,
00:00:43,00:00:48,00:00:05,7 Class 8 using file explorer,
00:00:48,00:01:28,00:00:40,idle,
00:01:28,00:01:32,00:00:03,3 Class 4 cmd command,
00:01:32,00:01:37,00:00:05,5 Class 6 coding in VSC,
00:01:37,00:02:04,00:00:27,idle,
00:02:04,00:02:07,00:00:02,7 Class 8 using file explorer,
00:02:07,00:02:10,00:00:03,9 Class 10 other,
00:02:12,00:02:17,00:00:05,5 Class 6 coding in VSC,
00:02:17,00:02:34,00:00:17,idle,
00:02:34,00:02:36,00:00:02,7 Class 8 using file explorer,
00:02:36,00:02:39,00:00:03,9 Class 10 other,
00:02:39,00:02:44,00:00:05,7 Class 8 using file explorer,
00:02:44,00:03:27,00:00:42,idle,
00:03:28,00:03:33,00:00:05,9 Class 10 other,
00:03:33,00:03:40,00:00:06,idle,
00:03:40,00:03:45,00:00:05,5 Class 6 coding in VSC,
00:03:45,00:04:16,00:00:31,idle,
00:04:16,00:04:20,00:00:04,7 Class 8 using file explorer,
00:04:21,00:04:26,00:00:05,5 Class 6 coding in VSC,
00:04:26,00:04:36,00:00:09,idle,
00:04:36,00:04:38,00:00:02,7 Class 8 using file explorer,
00:04:38,00:04:43,00:00:05,5 Class 6 coding in VSC,
00:04:43,00:05:33,00:00:50,idle,
00:05:33,00:05:38,00:00:05,7 Class 8 using file explorer,
00:05:38,00:05:43,00:00:05,9 Class 10 other,
00:05:43,00:05:45,00:00:02,idle,
00:05:46,00:05:51,00:00:05,7 Class 8 using file explorer,
00:05:51,00:05:56,00:00:05,idle,
00:05:56,00:06:01,00:00:05,5 Class 6 coding in VSC,
00:06:01,00:31:17,00:25:16,idle,
00:31:17,00:31:21,00:00:04,9 Class 10 other,
00:31:21,00:31:25,00:00:04,0 Class 1 browsing the web,
00:31:28,00:31:33,00:00:05,0 Class 1 browsing the web,
00:31:33,00:31:35,00:00:02,4 Class 5 editing docs,
00:31:36,00:31:41,00:00:05,4 Class 5 editing docs,
00:31:41,00:52:42,00:21:01,idle,
00:52:43,00:52:48,00:00:05,4 Class 5 editing docs,
00:52:48,01:03:24,00:10:36,idle,
01:03:25,01:03:27,00:00:02,5 Class 6 coding in VSC,
01:03:30,01:03:35,00:00:04,9 Class 10 other,
01:03:35,01:03:40,00:00:05,0 Class 1 browsing the web,
