start_time,end_time,duration,class,frequency
00:00:00,00:00:05,00:00:05,9 Class 10 other,
00:00:05,00:04:04,00:03:59,idle,
00:04:04,00:04:09,00:00:05,5 Class 6 coding in VSC,
00:04:09,00:07:13,00:03:03,idle,
00:07:13,00:07:16,00:00:03,0 Class 1 browsing the web,
00:07:16,00:07:21,00:00:05,5 Class 6 coding in VSC,
00:07:21,00:13:28,00:06:07,idle,
00:13:28,00:13:33,00:00:04,3 Class 4 cmd command,
00:13:33,00:13:38,00:00:05,5 Class 6 coding in VSC,
00:13:38,00:31:12,00:17:34,idle,
00:31:13,00:31:16,00:00:03,0 Class 1 browsing the web,
00:31:18,00:31:23,00:00:05,0 Class 1 browsing the web,
00:31:23,00:31:42,00:00:19,idle,
00:31:42,00:31:47,00:00:04,4 Class 5 editing docs,
00:31:48,00:31:53,00:00:05,4 Class 5 editing docs,
00:31:53,00:32:03,00:00:10,idle,
00:32:06,00:32:08,00:00:02,0 Class 1 browsing the web,
00:32:10,00:32:15,00:00:05,4 Class 5 editing docs,
00:32:15,00:32:22,00:00:07,idle,
00:32:22,00:32:25,00:00:03,4 Class 5 editing docs,
00:32:26,00:32:31,00:00:05,4 Class 5 editing docs,
00:32:31,00:32:44,00:00:13,idle,
00:32:48,00:32:52,00:00:03,4 Class 5 editing docs,
00:32:54,00:32:56,00:00:02,0 Class 1 browsing the web,
00:32:58,00:33:03,00:00:05,4 Class 5 editing docs,
00:33:03,00:54:30,00:21:27,idle,
00:54:31,00:54:36,00:00:05,4 Class 5 editing docs,
00:54:36,00:54:39,00:00:02,0 Class 1 browsing the web,
00:54:39,00:54:44,00:00:05,0 Class 1 browsing the web,
00:54:44,00:54:46,00:00:01,idle,
00:54:46,00:54:51,00:00:05,4 Class 5 editing docs,
00:54:51,00:54:59,00:00:08,idle,
00:55:01,00:55:05,00:00:04,4 Class 5 editing docs,
00:55:06,00:55:11,00:00:05,4 Class 5 editing docs,
00:55:11,00:55:15,00:00:03,4 Class 5 editing docs,
00:55:16,00:55:20,00:00:03,4 Class 5 editing docs,
00:55:20,00:55:22,00:00:02,0 Class 1 browsing the web,
00:55:22,00:55:25,00:00:03,4 Class 5 editing docs,
00:55:25,00:55:27,00:00:02,0 Class 1 browsing the web,
00:55:30,00:55:35,00:00:05,4 Class 5 editing docs,
00:55:35,00:55:37,00:00:01,idle,
00:55:39,00:55:44,00:00:05,4 Class 5 editing docs,
00:55:45,00:55:50,00:00:05,4 Class 5 editing docs,
00:55:50,00:56:09,00:00:19,idle,
00:56:10,00:56:15,00:00:05,4 Class 5 editing docs,
00:56:15,00:56:59,00:00:44,idle,
00:57:00,00:57:05,00:00:05,4 Class 5 editing docs,
00:57:05,00:57:16,00:00:11,idle,
00:57:16,00:57:21,00:00:05,4 Class 5 editing docs,
00:57:21,01:00:05,00:02:43,idle,
01:00:05,01:00:07,00:00:02,0 Class 1 browsing the web,
01:00:07,01:00:12,00:00:05,4 Class 5 editing docs,
01:00:12,01:00:17,00:00:05,idle,
01:00:18,01:00:23,00:00:05,9 Class 10 other,
01:00:23,01:00:31,00:00:07,idle,
01:00:31,01:00:33,00:00:02,4 Class 5 editing docs,
01:00:33,01:00:38,00:00:05,9 Class 10 other,
01:00:38,01:00:40,00:00:02,idle,
01:00:46,01:00:51,00:00:05,10 Class 11 code reference,
01:00:52,01:00:57,00:00:05,10 Class 11 code reference,
01:00:57,01:01:02,00:00:05,idle,
01:01:02,01:01:06,00:00:03,2 Class 3 using github,
01:01:06,01:01:08,00:00:02,10 Class 11 code reference,
01:01:08,01:01:11,00:00:02,0 Class 1 browsing the web,
01:01:11,01:01:16,00:00:05,4 Class 5 editing docs,
01:01:16,01:01:40,00:00:24,idle,
01:01:44,01:01:46,00:00:02,0 Class 1 browsing the web,
01:01:46,01:01:50,00:00:04,9 Class 10 other,
01:01:51,01:01:56,00:00:05,9 Class 10 other,
01:01:56,01:02:01,00:00:05,9 Class 10 other,
01:02:01,01:02:18,00:00:16,idle,
01:02:22,01:02:27,00:00:05,9 Class 10 other,
01:02:27,01:02:35,00:00:08,idle,
01:02:35,01:02:40,00:00:05,0 Class 1 browsing the web,
01:02:40,01:02:45,00:00:05,9 Class 10 other,
01:02:45,01:03:13,00:00:28,idle,
01:03:13,01:03:16,00:00:02,4 Class 5 editing docs,
